File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Restricted	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF737SPF	bigWig	fold change over control	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1							ENCFF816IGR, ENCFF901CND	1281054274	ENCODE Processing Pipeline	e6628676bdff900bdba6e89ea8ba9371		https://www.encodeproject.org/files/ENCFF737SPF/@@download/ENCFF737SPF.bigWig	hg19			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF222GJV	bed narrowPeak	peaks and background as input for IDR	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				2							ENCFF215KGT, ENCFF592WAL	5988641	ENCODE Processing Pipeline	ef43bf68252988f3222d451c9f68c7a5		https://www.encodeproject.org/files/ENCFF222GJV/@@download/ENCFF222GJV.bed.gz	hg19			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF954UNS	bigBed narrowPeak	peaks and background as input for IDR	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1, 2							ENCFF082QVO	11638799	ENCODE Processing Pipeline	ae4e0532dd7d8bb015d3f7676d792f27		https://www.encodeproject.org/files/ENCFF954UNS/@@download/ENCFF954UNS.bigBed	hg19			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF167BQX	bigBed narrowPeak	conservative idr thresholded peaks	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1, 2							ENCFF747IZZ	98129	ENCODE Processing Pipeline	4b773f67a8932fbfa0a9e3578470cc28		https://www.encodeproject.org/files/ENCFF167BQX/@@download/ENCFF167BQX.bigBed	hg19			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF534OEO	bigWig	fold change over control	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1, 2							ENCFF215KGT, ENCFF592WAL, ENCFF816IGR, ENCFF901CND	2387591928	ENCODE Processing Pipeline	84b90b7d9807ffa7220a5858e69d3e30		https://www.encodeproject.org/files/ENCFF534OEO/@@download/ENCFF534OEO.bigWig	hg19			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF659SMR	bigBed narrowPeak	peaks and background as input for IDR	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				2							ENCFF222GJV	11606720	ENCODE Processing Pipeline	4fe641dc06d5abc45b4dfd7485d973a1		https://www.encodeproject.org/files/ENCFF659SMR/@@download/ENCFF659SMR.bigBed	hg19			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF291OOO	bigBed narrowPeak	optimal idr thresholded peaks	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1, 2							ENCFF015YHT	143692	ENCODE Processing Pipeline	95f397fa81ecb5634bc003bb45a29153		https://www.encodeproject.org/files/ENCFF291OOO/@@download/ENCFF291OOO.bigBed	hg19			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF556EKD	bigWig	signal p-value	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				2							ENCFF322NTO, ENCFF531RDZ	1069987386	ENCODE Processing Pipeline	84542356d5817c44324a55c14edc829d		https://www.encodeproject.org/files/ENCFF556EKD/@@download/ENCFF556EKD.bigWig	GRCh38			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF559ZGL	bigWig	signal p-value	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1, 2							ENCFF322NTO, ENCFF427CQP, ENCFF531RDZ, ENCFF666ATR	1903299777	ENCODE Processing Pipeline	c61ee1eaa872620e29b228b376cfd0a0		https://www.encodeproject.org/files/ENCFF559ZGL/@@download/ENCFF559ZGL.bigWig	GRCh38			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF897EDT	bed narrowPeak	peaks and background as input for IDR	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1							ENCFF427CQP, ENCFF666ATR	5959347	ENCODE Processing Pipeline	aad2d8d22df82be59dfd34a8646f23fe		https://www.encodeproject.org/files/ENCFF897EDT/@@download/ENCFF897EDT.bed.gz	GRCh38			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF156ZBF	bed narrowPeak	conservative idr thresholded peaks	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1, 2							ENCFF134DSR, ENCFF419RSJ, ENCFF868UEY, ENCFF897EDT	24524	ENCODE Processing Pipeline	4ccd597996767ec09a3a827052a5a8e0		https://www.encodeproject.org/files/ENCFF156ZBF/@@download/ENCFF156ZBF.bed.gz	GRCh38			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF381ZDU	bed narrowPeak	optimal idr thresholded peaks	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1, 2							ENCFF134DSR, ENCFF419RSJ, ENCFF868UEY, ENCFF897EDT	53005	ENCODE Processing Pipeline	45059f90138d40e14c0c5b7302bef7ea		https://www.encodeproject.org/files/ENCFF381ZDU/@@download/ENCFF381ZDU.bed.gz	GRCh38			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF248FRU	bigWig	signal p-value	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1							ENCFF427CQP, ENCFF666ATR	1138550331	ENCODE Processing Pipeline	4a77ce31084df6b335802280935e5db5		https://www.encodeproject.org/files/ENCFF248FRU/@@download/ENCFF248FRU.bigWig	GRCh38			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF082JNG	bigWig	fold change over control	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				2							ENCFF322NTO, ENCFF531RDZ	1436235545	ENCODE Processing Pipeline	3dc2bb59232419251a202a6f79f0c29e		https://www.encodeproject.org/files/ENCFF082JNG/@@download/ENCFF082JNG.bigWig	GRCh38			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF856LYZ	bigWig	fold change over control	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1, 2							ENCFF322NTO, ENCFF427CQP, ENCFF531RDZ, ENCFF666ATR	2386479287	ENCODE Processing Pipeline	f3258aaad677b82c7e3574aa1cf9f05b		https://www.encodeproject.org/files/ENCFF856LYZ/@@download/ENCFF856LYZ.bigWig	GRCh38			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF918NZM	bigBed narrowPeak	peaks and background as input for IDR	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1, 2							ENCFF868UEY	11661368	ENCODE Processing Pipeline	8d86b75793fd4b05e7f9fc36de49cf40		https://www.encodeproject.org/files/ENCFF918NZM/@@download/ENCFF918NZM.bigBed	GRCh38			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF902XDD	bigBed narrowPeak	conservative idr thresholded peaks	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1, 2							ENCFF156ZBF	101118	ENCODE Processing Pipeline	e0a9c02a610401f9688dd65684c8a35b		https://www.encodeproject.org/files/ENCFF902XDD/@@download/ENCFF902XDD.bigBed	GRCh38			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF523NQP	bigBed narrowPeak	optimal idr thresholded peaks	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1, 2							ENCFF381ZDU	144664	ENCODE Processing Pipeline	b5213939481072ade756e70adefa1774		https://www.encodeproject.org/files/ENCFF523NQP/@@download/ENCFF523NQP.bigBed	GRCh38			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF664XOX	bigBed narrowPeak	peaks and background as input for IDR	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1							ENCFF897EDT	11456233	ENCODE Processing Pipeline	6b55a2edf99dbaab0f5b9ff23ea44d0a		https://www.encodeproject.org/files/ENCFF664XOX/@@download/ENCFF664XOX.bigBed	GRCh38			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF664OLG	bigWig	fold change over control	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1							ENCFF427CQP, ENCFF666ATR	1282101113	ENCODE Processing Pipeline	6c8732f61839ea5fac632ce81806e5a5		https://www.encodeproject.org/files/ENCFF664OLG/@@download/ENCFF664OLG.bigWig	GRCh38			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF134DSR	bed narrowPeak	peaks and background as input for IDR	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				2							ENCFF322NTO, ENCFF531RDZ	5985375	ENCODE Processing Pipeline	140c7c943827734623047eb0ad7ddfad		https://www.encodeproject.org/files/ENCFF134DSR/@@download/ENCFF134DSR.bed.gz	GRCh38			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF868UEY	bed narrowPeak	peaks and background as input for IDR	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1, 2							ENCFF322NTO, ENCFF427CQP, ENCFF531RDZ, ENCFF666ATR	7114650	ENCODE Processing Pipeline	ecb221b254174c8d10b9622f08dbe353		https://www.encodeproject.org/files/ENCFF868UEY/@@download/ENCFF868UEY.bed.gz	GRCh38			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF217OOL	bigBed narrowPeak	peaks and background as input for IDR	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				2							ENCFF134DSR	11620295	ENCODE Processing Pipeline	f34768e67fe6e8e929c9088354881d6e		https://www.encodeproject.org/files/ENCFF217OOL/@@download/ENCFF217OOL.bigBed	GRCh38			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF000OAO	bam	alignments	ENCSR000BGD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				POLR2A-human	DNA		see document	see document		False	2011-07-18	ENCODE				1							ENCFF000OBB	1291463709	Richard Myers, HAIB	dbdc8e6f75c73c64ccac21113c418b9a		https://www.encodeproject.org/files/ENCFF000OAO/@@download/ENCFF000OAO.bam	hg19			released		low read length, mild to moderate bottlenecking, low read depth	biological replicates with identical biosample		
ENCFF000OAP	bigBed broadPeak	peaks	ENCSR000BGD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				POLR2A-human	DNA		see document	see document		False	2011-07-18	ENCODE				1	1						ENCFF001TYI	1616649	Richard Myers, HAIB	92aa549f0ea1f3533d3b8e61918390f2		https://www.encodeproject.org/files/ENCFF000OAP/@@download/ENCFF000OAP.bigBed	hg19			released		low read length, mild to moderate bottlenecking, low read depth	biological replicates with identical biosample		
ENCFF000OAQ	bigBed broadPeak	peaks	ENCSR000BGD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				POLR2A-human	DNA		see document	see document		False	2011-07-18	ENCODE				2	1						ENCFF001TYJ	1714943	Richard Myers, HAIB	e2b9a81ac74b96d42e887d63b984fba1		https://www.encodeproject.org/files/ENCFF000OAQ/@@download/ENCFF000OAQ.bigBed	hg19			released		low read length, mild to moderate bottlenecking, low read depth	biological replicates with identical biosample		
ENCFF000OAR	bam	alignments	ENCSR000BGD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				POLR2A-human	DNA		see document	see document		False	2011-07-18	ENCODE				2							ENCFF000OBE	1304539164	Richard Myers, HAIB	4349753a4fcaa55782ece69642933bcd		https://www.encodeproject.org/files/ENCFF000OAR/@@download/ENCFF000OAR.bam	hg19			released		low read length, mild to moderate bottlenecking, low read depth	biological replicates with identical biosample		
ENCFF000OAT	bigWig	raw signal	ENCSR000BGD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				POLR2A-human	DNA		see document	see document		False	2011-07-18	ENCODE				1	1							119320345	Richard Myers, HAIB	0259bbc36bcc0424779084adccd69da5		https://www.encodeproject.org/files/ENCFF000OAT/@@download/ENCFF000OAT.bigWig	hg19			released		low read length, mild to moderate bottlenecking, low read depth	biological replicates with identical biosample, missing derived_from		
ENCFF000OAV	bigWig	raw signal	ENCSR000BGD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				POLR2A-human	DNA		see document	see document		False	2011-07-18	ENCODE				2	1							129039927	Richard Myers, HAIB	c82dfa76a8d96a4534d4487857286c3f		https://www.encodeproject.org/files/ENCFF000OAV/@@download/ENCFF000OAV.bigWig	hg19			released		low read length, mild to moderate bottlenecking, low read depth	biological replicates with identical biosample, missing derived_from		
ENCFF000OBB	fastq	reads	ENCSR000BGD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				POLR2A-human	DNA		see document	see document		False	2011-07-18	ENCODE				1	1	36		single-ended				1888750897	Richard Myers, HAIB	5b77b7903fd3b50615629e1eca254e25		https://www.encodeproject.org/files/ENCFF000OBB/@@download/ENCFF000OBB.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000ODG/	released		inconsistent control read length, low read length, mild to moderate bottlenecking, low read depth	biological replicates with identical biosample		
ENCFF000OBE	fastq	reads	ENCSR000BGD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				POLR2A-human	DNA		see document	see document		False	2011-07-18	ENCODE				2	1	36		single-ended				2174113476	Richard Myers, HAIB	8ebc26278136df2f2d43683e5849e626		https://www.encodeproject.org/files/ENCFF000OBE/@@download/ENCFF000OBE.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000ODJ/	released		inconsistent control read length, low read length, mild to moderate bottlenecking, low read depth	biological replicates with identical biosample		
