ARNT	ATF3	ATF7	BHLHE40	BRCA1	CDC5L	FOXA1	IKZF1	KLF16	MAFK	MGA	MNT	NFIC	NRF1	PKNOX1	REST	STAT5A	TAL1	TCF12	TEAD4	THRA
ATAD3B	1	1	9	6	0	5	0	8	2	1	7	6	6	4	3	8	1	0	0	3	0
ATAD3A	1	2	6	3	0	5	0	3	2	1	7	5	5	2	5	5	0	0	0	1	0
TMEM240	1	3	6	5	0	2	0	3	1	2	7	6	7	3	6	4	0	0	0	3	0
SSU72	0	3	3	7	0	0	0	8	0	1	2	5	5	3	6	4	0	0	1	4	0
C1orf233	0	3	4	7	0	0	0	8	0	1	4	5	6	3	5	4	0	1	2	4	0
MIB2	0	3	6	7	0	0	0	8	0	1	5	7	5	4	5	4	0	1	2	4	0
MMP23B	0	2	4	4	0	0	0	7	0	0	3	4	3	2	4	3	0	1	3	2	0
CDK11A	1	3	6	3	0	1	0	2	0	4	8	6	2	8	5	3	0	0	2	1	0
SLC35E2	1	2	8	5	0	1	0	5	0	3	11	7	7	12	8	7	0	0	1	4	0
NADK	1	2	6	5	0	0	0	4	0	3	7	5	7	11	7	7	0	0	1	4	0
GNB1	2	3	9	8	0	0	0	6	3	3	9	1	10	6	5	3	0	2	4	7	0
TMEM52	2	3	9	9	0	0	0	5	4	2	9	1	9	8	5	6	0	1	2	6	0
PRKCZ	0	2	5	4	0	1	0	1	0	1	4	0	3	4	3	4	0	0	0	1	0
SKI	4	4	12	10	0	1	0	5	2	2	12	10	8	13	9	8	1	0	1	6	0
MORN1	0	0	2	3	0	0	0	1	2	0	3	5	2	3	3	3	0	1	1	0	0
RER1	0	0	2	3	0	0	0	1	2	0	3	5	2	3	3	3	0	1	1	0	0
PEX10	0	0	2	3	0	0	0	2	2	0	3	5	2	2	3	4	0	0	0	0	0
PLCH2	0	0	0	1	0	0	0	1	0	0	0	0	0	3	1	5	0	0	0	0	0
PANK4	0	0	5	7	0	0	0	4	1	0	6	3	12	14	2	9	0	0	1	3	0
HES5	0	0	5	8	0	0	0	4	1	0	7	3	12	14	2	9	0	0	1	3	0
TNFRSF14	0	0	7	8	0	0	0	5	2	0	9	4	16	14	2	9	1	1	2	4	0
FAM213B	0	0	8	7	0	0	0	5	2	0	10	4	14	14	4	10	1	2	3	4	0
PRDM16	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
ARHGEF16	0	1	1	4	0	0	0	0	2	0	2	0	0	8	0	8	0	0	0	0	0
MEGF6	0	5	6	7	0	1	1	3	3	0	2	3	1	5	2	5	1	3	3	4	0
TPRG1L	0	6	6	8	0	1	1	3	2	0	2	4	3	6	3	4	1	3	3	4	0
WRAP73	0	6	6	8	0	1	1	4	2	0	1	4	4	6	3	5	1	3	3	4	0
TP73	0	6	6	8	0	1	1	4	2	0	1	4	4	6	3	5	1	3	3	4	0
LRRC47	2	3	3	11	0	0	0	5	5	2	12	8	10	9	4	7	2	6	6	4	0
CEP104	2	1	6	4	0	1	0	6	0	1	5	5	4	5	3	3	0	1	2	1	0
DFFB	2	1	6	4	0	1	0	7	0	1	5	5	4	5	4	3	0	1	2	1	0
C1orf174	2	1	6	3	0	1	0	7	0	0	5	4	4	6	3	4	0	0	1	1	0
AJAP1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
KCNAB2	0	1	2	7	0	1	0	5	0	3	1	2	3	5	4	2	0	0	1	0	0
NPHP4	0	1	2	7	0	1	0	5	0	3	1	2	3	5	4	2	0	0	1	0	0
RPL22	2	1	6	6	0	0	0	12	1	2	4	4	6	12	4	13	0	0	0	2	0
RNF207	2	1	6	6	0	0	0	10	1	2	4	4	6	12	4	13	0	0	0	2	0
ICMT	2	1	7	8	0	0	0	8	1	2	4	4	5	13	5	11	0	0	0	2	0
HES3	2	1	7	8	0	0	0	8	1	2	4	4	5	13	5	10	0	0	0	2	0
GPR153	1	1	4	4	0	0	0	1	0	1	0	1	3	8	4	6	0	0	0	0	0
ACOT7	0	3	5	8	0	0	0	8	7	0	4	1	10	11	1	10	2	3	4	6	0
HES2	0	3	3	7	0	0	0	5	5	0	3	1	9	11	1	8	2	2	3	5	0
ESPN	0	3	3	9	0	0	0	4	5	0	3	1	8	13	1	8	2	2	3	5	0
TNFRSF25	0	1	3	11	0	0	0	3	6	1	1	0	11	13	3	8	2	2	2	4	0
PLEKHG5	1	0	4	8	0	0	0	4	6	1	0	1	10	7	4	4	1	2	2	6	0
NOL9	1	3	7	9	0	0	0	7	3	3	2	7	11	9	4	6	3	2	3	12	0
ZBTB48	1	4	10	8	0	0	0	7	2	3	3	9	10	12	5	6	2	1	2	10	0
KLHL21	1	5	10	8	0	0	0	7	2	4	3	9	10	12	6	7	2	1	2	10	0
PHF13	0	5	9	7	0	0	0	6	0	4	3	8	8	12	6	6	2	0	1	8	0
THAP3	0	5	9	7	0	0	0	6	0	4	3	8	8	12	5	6	3	2	3	8	0
DNAJC11	0	3	2	2	0	0	0	2	2	0	2	2	1	1	1	2	1	3	2	1	0
CAMTA1	0	5	3	4	0	0	0	3	0	2	1	2	2	6	2	3	0	0	1	0	0
VAMP3	1	3	4	1	0	0	0	1	0	1	2	3	2	1	5	4	0	1	1	1	0
UTS2	1	7	2	4	0	0	0	7	0	1	3	3	2	0	3	6	0	2	1	1	0
TNFRSF9	1	8	3	6	0	0	0	9	1	2	5	5	4	4	6	5	0	2	0	1	0
PARK7	2	7	4	6	0	0	0	9	2	3	6	6	5	5	6	4	1	3	1	2	0
ERRFI1	1	5	4	3	0	0	0	4	1	3	3	1	3	2	1	5	1	3	1	1	0
SLC45A1	0	2	2	0	0	1	0	1	1	1	3	0	0	4	0	2	0	0	0	0	0
RERE	1	1	2	5	0	1	0	10	5	4	4	2	11	7	3	5	2	6	7	10	0
ENO1	6	6	6	7	0	1	0	8	4	6	5	6	13	6	5	7	2	4	4	8	0
CA6	0	4	1	0	0	0	0	3	1	0	3	1	2	2	3	3	1	1	2	0	0
SLC2A5	0	2	1	5	0	1	0	0	1	0	4	1	1	1	3	1	0	0	1	2	0
GPR157	0	4	2	5	0	0	0	1	2	1	4	0	4	2	2	2	0	0	0	2	0
H6PD	1	3	0	3	0	0	0	1	2	3	0	2	1	3	4	2	0	0	2	1	0
SPSB1	0	7	1	3	0	2	0	1	2	3	2	0	5	0	6	3	0	0	1	3	0
SLC25A33	1	5	8	6	0	0	0	2	3	3	3	2	6	9	3	4	0	1	0	0	1
TMEM201	1	4	7	6	0	0	0	7	3	2	3	3	6	9	4	4	0	2	0	1	1
PIK3CD	1	4	6	6	0	0	0	10	1	1	5	3	12	6	3	2	0	1	1	3	0
CLSTN1	0	2	5	3	0	0	0	2	0	0	2	0	2	6	2	2	1	1	1	1	0
CTNNBIP1	6	1	7	5	0	1	0	5	2	1	1	3	7	4	5	5	1	1	0	4	0
NMNAT1	6	1	5	5	0	1	0	3	1	0	1	3	5	3	5	3	1	1	0	4	0
LZIC	6	1	5	5	0	1	0	3	1	0	1	3	5	3	5	3	1	1	0	4	0
RBP7	1	0	4	3	0	0	0	5	1	2	3	3	3	1	2	3	0	1	1	1	0
UBE4B	1	3	4	4	0	0	0	5	0	4	3	4	4	1	2	2	0	1	1	1	0
KIF1B	0	4	2	1	0	0	0	5	1	1	1	1	4	2	1	1	0	1	1	1	0
PGD	0	5	9	4	0	0	0	4	1	3	8	4	9	6	5	6	0	1	2	3	0
APITD1	3	4	10	7	0	1	0	5	1	4	10	7	11	7	3	8	0	2	3	8	0
APITD1-CORT	3	4	10	7	0	1	0	5	1	4	10	7	11	7	3	8	0	2	3	8	0
DFFA	4	2	8	8	0	1	0	5	4	2	5	6	9	4	4	10	0	3	2	7	0
PEX14	4	2	8	8	0	1	0	5	4	2	5	6	8	4	4	10	0	3	2	7	0
CASZ1	0	2	0	2	0	2	0	2	0	0	1	0	1	6	1	0	0	0	0	0	0
TARDBP	1	3	4	4	0	1	0	4	1	0	1	4	5	9	4	5	0	2	1	3	0
SRM	1	0	4	6	0	1	0	2	1	0	3	6	4	7	3	4	0	1	0	2	0
EXOSC10	0	0	3	4	0	0	0	1	0	0	3	4	4	1	0	2	0	0	0	0	0
ANGPTL7	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0
MTOR	1	2	2	1	0	0	0	2	0	0	0	4	3	5	3	3	0	2	2	2	0
UBIAD1	1	2	2	2	0	0	0	2	0	0	0	4	3	5	7	4	0	2	2	2	0
FBXO44	1	2	7	7	0	0	0	9	8	1	5	1	11	8	2	6	2	4	5	4	0
FBXO2	1	2	7	7	0	0	0	9	8	1	5	1	11	8	2	6	2	4	5	4	0
FBXO6	1	3	7	9	0	0	0	11	8	1	7	1	12	12	2	8	2	4	6	5	0
MAD2L2	1	6	13	13	0	1	0	16	10	1	12	5	14	17	4	11	2	4	5	5	0
DRAXIN	1	6	13	13	0	1	0	16	10	1	12	5	14	17	4	11	2	4	5	5	0
AGTRAP	1	7	12	12	0	2	0	12	6	1	11	5	8	13	7	13	1	3	3	4	0
C1orf167	6	4	19	18	0	5	0	20	6	3	9	7	7	16	16	18	5	5	4	7	0
CLCN6	7	2	12	14	0	4	0	16	4	3	5	4	4	12	14	15	6	5	5	7	0
MTHFR	7	2	12	14	0	4	0	16	4	3	5	4	4	12	14	15	6	5	5	7	0
KIAA2013	4	4	10	9	0	3	0	13	6	2	12	7	13	12	8	7	4	3	6	6	0
PLOD1	5	6	12	9	0	2	0	14	6	2	9	9	13	10	8	5	4	3	5	6	0
MFN2	2	3	11	6	0	0	0	14	3	1	8	8	9	7	8	4	3	4	4	4	0
MIIP	3	8	11	9	0	1	0	16	5	4	9	7	7	12	9	5	4	5	7	8	0
TNFRSF8	3	10	8	9	0	1	0	17	6	5	8	3	8	11	7	7	3	4	6	7	0
TNFRSF1B	3	3	10	6	0	0	0	12	6	1	7	4	13	4	3	9	3	4	5	8	0
VPS13D	2	1	5	1	0	0	1	4	5	1	2	0	6	2	1	4	1	3	2	5	1
DHRS3	4	12	10	6	0	3	1	19	2	4	2	4	6	3	7	4	4	2	3	4	0
LRRC38	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
PDPN	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0
PRDM2	0	0	2	1	0	0	0	0	0	0	2	0	2	3	3	1	0	0	0	0	0
KAZN	0	2	5	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0	0
TMEM51	0	2	3	3	0	2	0	2	1	0	3	0	1	3	3	3	0	3	2	2	1
FHAD1	2	7	5	4	0	0	0	4	0	4	5	1	3	3	5	4	2	2	1	4	0
EFHD2	0	14	4	5	0	0	1	8	3	0	3	2	5	6	6	4	1	3	2	4	0
CELA2A	0	17	5	5	0	0	1	12	3	0	3	2	3	5	8	4	1	4	3	6	0
CELA2B	0	13	5	5	0	0	0	10	1	1	3	3	3	8	7	4	0	4	3	5	0
CASP9	1	5	6	6	0	1	0	4	2	4	0	5	6	8	6	3	2	5	4	5	0
DNAJC16	1	5	6	6	0	1	0	3	2	4	0	5	6	8	6	3	2	4	3	4	0
AGMAT	2	3	9	5	0	1	1	4	2	1	6	6	4	6	8	4	3	3	3	5	0
DDI2	1	1	7	3	0	0	1	3	1	0	6	5	2	4	6	4	1	1	1	4	0
PLEKHM2	1	1	1	2	0	0	0	5	0	0	0	0	3	1	1	2	0	3	2	2	0
FBLIM1	1	6	7	6	0	0	0	10	4	3	0	0	2	6	5	5	1	4	2	2	0
SPEN	10	10	14	6	0	1	0	11	1	6	12	9	10	11	6	6	2	2	1	7	0
ZBTB17	6	6	7	5	0	0	0	10	3	4	4	6	9	10	7	9	1	2	4	6	0
HSPB7	6	2	9	6	0	0	0	9	4	2	3	4	13	9	7	8	1	2	4	8	0
CLCNKB	4	3	8	11	0	0	0	9	4	4	2	3	14	12	7	8	1	2	4	8	0
FAM131C	2	3	7	10	0	1	0	6	3	3	1	1	12	8	5	4	1	1	2	4	0
EPHA2	3	7	12	11	0	1	0	16	3	4	6	0	8	9	10	4	3	5	3	7	0
ARHGEF19	3	7	12	8	0	1	0	16	2	3	12	2	9	14	15	6	1	7	3	4	0
RSG1	3	6	8	7	0	1	0	11	3	1	9	3	7	8	11	6	2	8	4	4	0
FBXO42	3	8	7	4	0	0	0	4	0	4	3	2	3	2	4	2	0	3	0	5	0
SZRD1	3	8	7	4	0	0	0	4	0	4	3	2	3	2	4	2	0	2	0	4	0
NECAP2	1	4	2	1	0	0	0	3	1	2	1	2	2	2	2	5	2	1	1	1	0
CROCC	5	6	8	3	0	2	0	5	5	1	7	2	8	13	8	7	3	2	2	4	0
MFAP2	2	0	3	3	0	0	0	3	3	1	0	0	4	7	1	3	0	1	2	1	0
ATP13A2	0	2	4	3	0	0	0	5	1	1	0	0	2	5	1	1	0	1	2	2	0
SDHB	0	3	3	3	0	0	0	5	1	1	0	0	2	6	2	1	0	1	2	2	0
PADI2	0	0	0	1	0	0	0	0	2	1	0	0	1	3	2	3	0	0	0	0	0
PADI1	0	4	1	2	0	0	0	4	0	1	0	0	8	0	3	2	0	1	1	1	0
PADI3	0	3	0	2	0	0	0	5	2	1	0	0	7	1	0	2	1	1	1	1	0
PADI4	0	1	1	1	0	0	0	3	3	2	1	1	6	1	1	2	1	2	3	3	0
RCC2	1	2	5	5	0	0	0	8	2	3	5	4	10	11	7	5	0	2	3	2	1
ARHGEF10L	1	2	2	2	0	2	0	1	1	1	0	0	4	2	0	2	0	1	2	2	0
ACTL8	0	0	0	2	0	0	0	0	0	3	2	1	0	1	0	0	0	0	0	0	0
PAX7	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	4	0	0	0	0	0
ALDH4A1	3	7	7	3	0	0	0	11	4	3	6	4	4	4	3	6	2	2	3	6	0
IFFO2	2	7	3	1	0	0	0	8	5	1	3	2	5	3	3	2	2	2	3	4	0
UBR4	2	2	5	3	0	0	0	2	2	2	4	4	6	3	3	0	0	3	3	4	0
EMC1	0	1	6	4	0	0	0	2	1	2	5	5	4	2	4	1	0	1	1	4	0
MRTO4	0	1	6	4	0	0	0	2	1	2	5	5	4	2	4	1	0	1	1	4	0
AKR7A2	1	2	4	5	0	1	0	4	1	4	4	2	7	4	2	5	2	2	3	4	0
PQLC2	1	2	4	5	0	1	0	4	1	4	4	2	7	4	2	5	2	2	3	4	0
CAPZB	2	9	5	2	0	2	0	3	3	3	3	2	5	3	5	3	2	5	4	6	0
MINOS1	0	4	4	4	0	0	0	3	1	0	3	1	6	2	3	2	0	1	2	0	0
MINOS1-NBL1	0	4	4	4	0	0	0	3	1	0	3	1	6	2	3	2	0	1	2	0	0
NBL1	0	2	4	5	0	0	0	3	2	0	3	2	4	4	5	6	0	1	2	0	0
TMCO4	0	3	1	4	0	0	0	2	1	2	1	0	3	0	1	3	1	1	1	1	0
OTUD3	1	4	3	3	0	0	0	4	2	1	3	0	3	1	3	3	3	3	4	4	0
PLA2G2D	0	2	1	3	0	0	0	0	0	0	3	0	3	4	1	3	0	1	0	0	0
PLA2G2F	4	7	4	6	0	1	0	5	1	1	7	2	5	6	4	3	1	3	2	3	0
UBXN10	5	7	8	6	0	1	0	8	4	2	12	2	7	10	8	6	3	3	4	5	0
CAMK2N1	0	1	2	4	0	1	0	4	2	1	2	0	3	4	2	7	1	1	1	4	0
MUL1	0	1	3	3	0	0	0	4	2	1	2	0	3	5	2	5	1	1	1	4	0
FAM43B	1	3	4	5	0	0	0	3	1	2	0	0	4	3	4	4	1	1	1	3	0
CDA	2	4	7	4	0	0	0	1	1	2	3	1	5	5	6	2	0	0	0	2	0
PINK1	1	3	6	7	0	0	0	2	1	2	3	2	5	6	9	3	0	0	1	1	0
DDOST	1	2	6	7	0	0	0	5	1	1	4	3	5	7	9	6	0	0	1	2	0
SH2D5	2	4	1	5	0	0	0	5	1	0	7	2	2	5	5	4	0	0	0	3	0
HP1BP3	0	2	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0
EIF4G3	2	2	3	1	0	0	0	3	1	1	2	0	6	2	1	2	0	1	1	2	0
ECE1	3	7	8	8	0	4	0	10	4	1	4	4	15	6	13	5	4	6	7	6	0
NBPF3	1	4	5	4	0	0	0	5	2	0	7	3	6	3	5	5	2	3	3	1	0
ALPL	0	1	1	1	0	0	0	2	2	0	1	0	4	3	4	8	1	1	1	1	0
RAP1GAP	6	3	13	11	0	4	0	13	7	5	4	11	13	14	9	9	5	7	8	9	0
USP48	5	5	6	6	0	5	0	10	2	0	5	4	5	8	7	3	4	4	5	7	0
HSPG2	9	4	10	12	0	2	0	21	5	4	13	5	13	7	15	8	3	4	6	7	0
CDC42	2	7	6	4	0	3	0	7	2	1	5	7	11	10	8	5	0	3	2	4	0
WNT4	0	3	5	4	0	0	0	1	0	0	1	2	7	4	6	3	0	2	2	0	0
ZBTB40	1	4	6	3	0	0	1	3	2	3	2	2	5	4	1	4	0	1	3	4	0
EPHA8	0	0	0	1	0	0	0	1	0	0	0	0	0	2	1	2	0	0	0	0	0
C1QA	0	1	1	1	0	0	0	3	1	0	0	0	1	1	1	6	0	0	0	1	0
C1QC	0	1	1	0	0	0	0	3	1	0	0	0	1	1	1	6	0	0	0	1	0
C1QB	0	1	1	0	0	0	0	2	1	0	0	0	2	1	1	6	0	0	0	1	0
EPHB2	0	2	1	0	0	0	0	1	0	2	1	0	2	4	3	2	0	0	0	0	0
KDM1A	2	4	5	1	0	0	1	2	2	0	5	2	3	2	3	2	1	3	1	1	0
LUZP1	0	4	6	1	0	0	0	5	1	1	3	1	5	5	6	4	0	0	0	0	0
HTR1D	0	4	6	1	0	0	0	6	1	1	2	1	5	5	6	4	0	0	0	0	0
HNRNPR	2	2	4	5	0	2	0	11	0	2	8	4	8	2	4	6	1	0	2	8	0
ZNF436	3	3	6	6	0	3	1	15	1	3	10	5	11	3	5	7	1	1	4	10	0
TCEA3	1	2	4	3	0	3	1	7	1	1	4	1	8	2	4	5	1	1	2	2	0
ASAP3	4	7	5	3	0	0	0	11	1	2	8	6	13	7	5	2	0	1	1	2	0
E2F2	4	5	11	7	0	1	1	23	8	4	15	10	14	11	9	6	0	3	3	8	0
ID3	3	9	11	8	0	1	1	19	7	5	14	8	14	8	9	6	2	3	3	8	0
MDS2	0	7	6	4	0	1	0	2	2	2	6	0	3	2	4	5	2	1	0	0	0
RPL11	1	4	1	1	0	0	0	5	2	1	1	2	3	2	2	1	0	2	2	5	0
TCEB3	3	10	4	2	0	0	0	6	2	3	6	9	3	6	7	6	1	2	3	5	0
PITHD1	3	9	8	6	0	0	0	8	3	4	9	14	10	9	8	10	1	1	4	4	0
LYPLA2	3	7	8	7	0	0	0	11	4	3	9	16	11	10	8	10	2	2	5	5	0
GALE	3	7	7	6	0	0	0	10	4	2	8	13	11	8	6	8	2	2	5	5	0
HMGCL	4	5	9	7	0	0	0	12	5	2	11	13	11	9	8	9	3	3	8	7	0
FUCA1	1	2	5	6	0	0	0	10	2	0	3	3	3	2	7	5	2	3	6	4	0
CNR2	2	3	8	8	0	1	0	8	2	1	6	2	3	4	10	6	1	4	6	6	0
PNRC2	4	3	8	7	0	3	1	9	2	1	5	4	7	5	7	5	3	6	3	8	0
SRSF10	4	2	9	4	0	3	1	6	2	0	4	4	8	6	7	4	3	6	2	8	0
MYOM3	0	3	1	3	0	0	0	1	3	1	2	0	1	7	3	4	0	1	1	2	0
IFNLR1	1	4	1	2	0	0	0	2	2	1	0	0	2	4	3	4	0	0	0	2	0
GRHL3	0	2	2	1	0	0	0	3	1	3	4	0	6	2	5	1	0	0	0	1	0
NIPAL3	1	3	6	5	0	0	0	6	3	1	4	6	6	7	5	6	2	2	3	5	0
STPG1	1	3	6	5	0	0	0	6	3	1	4	6	6	7	5	6	2	3	4	6	0
RCAN3	0	3	1	1	0	0	0	3	0	0	2	0	0	1	4	2	0	3	2	1	0
NCMAP	0	4	1	1	0	0	0	3	1	0	2	0	1	0	3	1	0	1	2	1	0
SRRM1	0	5	2	3	0	0	0	4	2	1	3	2	4	1	2	3	1	1	1	2	0
CLIC4	7	12	11	3	0	1	0	11	1	1	5	6	4	6	6	2	0	1	2	2	0
RUNX3	0	2	3	4	0	0	0	1	0	1	3	0	4	2	3	2	0	0	0	0	0
SYF2	3	5	8	7	0	2	0	10	3	0	4	6	7	8	12	5	0	3	3	7	2
RHD	3	5	8	6	0	2	0	11	3	0	3	8	12	9	12	4	0	6	6	8	2
TMEM50A	2	2	4	0	0	1	0	7	1	1	3	5	4	5	8	1	1	4	3	4	0
RHCE	5	4	3	1	0	2	0	9	3	0	5	4	8	11	6	4	3	4	4	5	0
TMEM57	5	4	3	1	0	2	0	9	3	0	5	4	8	11	7	4	6	7	5	8	0
LDLRAP1	0	5	5	3	0	1	0	10	2	1	5	1	7	7	4	3	0	0	3	0	0
SEPN1	4	4	3	6	0	0	0	7	3	1	6	2	9	5	13	5	2	4	3	6	0
MTFR1L	4	5	7	5	0	1	0	9	2	1	8	6	10	8	15	5	1	3	2	6	0
AUNIP	5	2	10	6	0	1	1	14	3	1	7	10	7	11	14	7	0	2	1	6	0
STMN1	6	5	9	7	0	1	1	15	3	2	10	8	7	10	11	6	1	3	2	5	0
PAFAH2	3	5	7	6	0	1	0	12	3	2	7	3	4	5	8	6	2	2	2	5	0
TRIM63	4	2	6	7	0	0	0	15	4	6	14	2	8	10	15	7	2	3	3	9	0
PDIK1L	8	6	14	6	0	1	0	19	5	7	14	6	12	11	19	5	5	7	5	11	0
FAM110D	6	8	20	7	0	1	1	14	5	2	12	7	13	13	14	10	3	4	2	10	0
ZNF593	6	8	18	5	0	1	1	14	4	2	10	6	12	10	13	8	3	4	2	7	0
CNKSR1	2	4	12	2	0	1	1	12	3	0	8	3	8	8	10	8	0	1	0	5	0
CEP85	5	8	3	5	0	1	0	14	4	3	7	7	9	6	7	6	0	1	2	3	1
SH3BGRL3	5	11	7	9	0	2	0	17	5	4	10	11	14	7	12	8	4	4	6	8	1
CD52	3	15	10	9	0	3	0	16	5	4	8	8	15	9	12	9	4	5	5	8	1
UBXN11	3	15	10	9	0	3	0	17	5	4	8	8	15	9	12	9	4	5	5	8	1
ZNF683	5	11	11	2	0	2	0	15	6	2	3	4	5	6	8	9	1	3	3	4	0
LIN28A	6	8	10	2	0	2	0	17	6	1	3	5	3	5	8	8	1	2	3	4	0
DHDDS	3	4	6	3	0	1	0	12	6	0	3	7	1	5	6	9	0	1	1	3	0
HMGN2	3	3	8	5	0	1	0	12	3	0	9	6	3	7	3	5	1	0	0	2	0
RPS6KA1	4	4	8	5	0	0	0	9	2	0	6	1	8	7	4	5	2	0	4	1	0
ARID1A	12	6	13	7	0	4	0	21	7	5	8	11	17	7	14	8	6	8	5	12	0
PIGV	4	5	11	6	0	2	1	11	4	6	3	8	14	5	4	3	3	4	5	6	0
ZDHHC18	4	4	12	6	0	3	1	13	4	3	3	5	9	5	4	4	1	3	5	5	0
SFN	3	4	8	4	0	1	0	10	1	2	3	2	6	6	1	7	0	0	3	2	0
GPN2	3	4	11	4	0	1	0	11	1	2	6	4	10	7	3	7	0	0	2	5	0
GPATCH3	3	4	11	4	0	1	0	11	1	2	6	4	10	7	3	7	0	0	2	5	0
NUDC	1	2	9	5	0	0	0	6	1	3	5	4	9	7	3	5	1	1	1	5	0
TRNP1	1	4	5	10	0	1	0	10	3	1	4	1	3	11	7	7	2	2	3	6	0
FAM46B	2	4	5	9	0	1	0	14	4	1	4	2	3	8	7	10	1	1	2	6	0
SLC9A1	5	11	10	6	0	2	0	14	1	1	4	1	6	9	9	4	2	3	4	6	0
WDTC1	1	5	2	3	0	0	0	3	0	1	2	2	5	1	4	1	0	1	1	1	0
TMEM222	1	4	9	4	0	0	0	8	6	1	3	2	5	8	5	8	0	0	0	1	0
SYTL1	1	5	10	8	0	0	0	12	8	1	3	2	6	10	7	9	0	1	1	2	0
MAP3K6	1	5	10	10	0	2	0	13	7	1	4	3	5	11	10	12	0	1	2	4	0
FCN3	1	4	8	9	0	2	0	12	6	2	4	1	3	10	8	12	0	1	2	4	0
CD164L2	2	4	10	9	0	2	0	14	7	3	5	2	5	11	9	12	1	2	4	7	0
GPR3	2	3	10	8	0	2	0	15	7	2	5	2	5	10	10	11	1	2	4	7	0
WASF2	3	8	6	4	0	4	0	15	1	2	8	6	5	7	4	4	0	4	6	7	0
AHDC1	2	3	9	9	0	4	0	16	4	2	1	3	8	5	13	8	1	2	1	6	0
FGR	5	7	7	4	0	2	0	13	4	0	4	6	9	7	14	8	1	2	2	6	0
IFI6	4	5	5	1	0	0	0	5	1	0	4	5	5	6	7	4	1	1	1	3	0
FAM76A	1	2	3	3	0	0	0	1	0	0	1	2	3	3	1	2	1	0	0	2	0
STX12	1	4	5	3	0	0	0	5	0	0	1	2	1	3	2	2	0	1	0	2	1
PPP1R8	2	2	5	3	0	0	0	8	2	0	2	1	2	6	2	2	1	2	2	1	1
THEMIS2	4	1	6	4	0	0	0	8	2	0	3	3	3	7	3	2	1	1	2	2	0
RPA2	3	4	6	5	0	0	0	10	2	1	6	3	7	7	4	1	1	2	4	3	1
