CTCF	EP300	GABPA	MAFK	NFE2L2	REST
MIIP	7	0	0	2	0	0
TNFRSF8	8	3	0	3	0	0
TNFRSF1B	10	3	0	1	0	0
VPS13D	10	3	0	1	0	0
DHRS3	4	5	0	0	0	0
LRRC38	3	0	0	0	0	0
PDPN	3	0	0	1	0	0
PRDM2	3	0	0	1	0	0
KAZN	2	0	0	0	0	0
TMEM51	8	0	0	0	0	1
FHAD1	10	0	1	2	0	1
EFHD2	6	3	2	2	1	0
CELA2A	5	4	2	2	1	0
CELA2B	4	3	2	2	0	0
CASP9	6	3	1	2	0	1
DNAJC16	6	3	1	2	0	1
AGMAT	5	2	1	2	0	1
DDI2	5	2	1	2	0	1
PLEKHM2	7	0	0	2	0	2
FBLIM1	7	6	1	5	1	2
SPEN	7	7	1	5	2	1
ZBTB17	11	5	2	0	1	1
HSPB7	11	5	2	0	0	1
CLCNKB	11	6	3	0	0	1
FAM131C	11	7	5	2	1	1
EPHA2	10	9	5	4	1	0
ARHGEF19	7	7	4	4	1	0
RSG1	7	7	4	5	1	0
FBXO42	4	0	3	4	1	0
SZRD1	4	0	3	4	1	0
NECAP2	4	0	3	3	1	0
CROCC	10	2	1	0	0	1
MFAP2	13	2	2	1	0	1
ATP13A2	10	0	1	1	0	0
SDHB	7	1	1	1	0	0
PADI2	5	4	2	2	0	0
PADI1	6	7	1	1	0	1
PADI3	6	7	2	2	1	2
PADI4	8	6	1	2	1	2
RCC2	11	4	1	1	1	0
ARHGEF10L	11	4	0	0	0	0
ACTL8	6	0	1	1	0	1
PAX7	11	0	1	1	0	1
ALDH4A1	7	0	1	0	0	0
IFFO2	6	1	1	1	0	0
UBR4	4	1	1	1	0	0
EMC1	6	1	1	1	0	0
MRTO4	6	1	1	1	0	0
AKR7A2	6	1	0	0	0	0
PQLC2	6	1	0	0	0	0
CAPZB	6	0	1	0	0	0
MINOS1	9	0	2	0	0	1
MINOS1-NBL1	9	0	2	0	0	1
NBL1	12	0	2	0	0	1
TMCO4	9	2	0	2	0	2
OTUD3	7	2	0	2	0	2
PLA2G2D	8	0	0	0	0	0
PLA2G2F	9	0	0	0	0	0
UBXN10	12	0	0	0	0	0
CAMK2N1	8	0	1	1	0	2
MUL1	9	0	1	1	0	2
FAM43B	9	0	1	2	0	1
CDA	9	0	2	2	0	1
PINK1	11	0	2	3	0	0
DDOST	11	0	2	3	0	0
SH2D5	8	0	2	1	0	0
HP1BP3	5	0	1	1	0	0
EIF4G3	8	1	0	1	1	0
ECE1	10	4	1	2	1	1
NBPF3	8	0	0	0	0	1
ALPL	9	1	0	1	0	2
RAP1GAP	7	3	2	2	1	4
USP48	4	2	1	3	0	1
HSPG2	8	1	1	1	0	0
CDC42	10	0	2	0	0	0
WNT4	5	0	1	0	0	2
ZBTB40	3	0	0	0	0	0
EPHA8	3	0	0	0	0	3
C1QA	8	0	0	0	0	3
C1QC	8	0	0	0	0	3
C1QB	8	0	1	0	0	3
EPHB2	8	0	1	0	0	2
KDM1A	8	1	0	0	0	1
LUZP1	5	3	0	2	1	1
HTR1D	4	4	0	2	1	0
HNRNPR	2	2	3	1	1	1
ZNF436	2	2	3	1	1	1
TCEA3	3	2	3	2	1	1
ASAP3	8	7	1	6	3	2
E2F2	7	9	0	6	4	1
ID3	12	10	0	6	4	1
MDS2	14	10	1	5	4	3
RPL11	12	4	5	2	1	2
TCEB3	12	3	6	1	1	2
PITHD1	12	3	6	1	1	2
LYPLA2	12	3	6	1	1	2
GALE	11	2	5	1	1	1
HMGCL	11	2	5	1	1	1
FUCA1	10	2	4	1	1	2
CNR2	5	1	1	0	1	2
PNRC2	5	2	1	0	1	2
SRSF10	7	2	1	0	1	1
MYOM3	12	1	0	0	0	2
IFNLR1	10	2	1	0	0	3
GRHL3	11	4	2	5	2	1
NIPAL3	9	0	0	2	0	0
STPG1	9	0	0	2	0	0
RCAN3	6	0	0	1	0	1
NCMAP	5	0	0	1	0	2
SRRM1	4	0	1	1	0	2
CLIC4	2	1	1	2	1	0
RUNX3	5	1	0	0	0	1
SYF2	5	2	4	2	0	0
RHD	4	2	5	2	0	0
TMEM50A	2	2	4	2	0	0
RHCE	6	0	1	0	0	0
TMEM57	7	0	1	0	0	0
LDLRAP1	13	1	0	0	0	1
SEPN1	8	0	2	1	0	2
MTFR1L	9	0	2	1	0	2
AUNIP	7	0	2	0	0	1
STMN1	6	1	2	1	0	1
PAFAH2	5	1	0	1	1	0
TRIM63	6	1	0	1	1	0
PDIK1L	7	0	1	1	1	0
FAM110D	7	0	1	2	2	0
ZNF593	7	0	1	2	2	0
CNKSR1	9	0	1	2	2	0
CEP85	11	1	1	2	1	0
SH3BGRL3	12	1	0	2	1	0
CD52	14	1	0	2	1	3
UBXN11	14	1	0	2	1	3
ZNF683	13	2	1	2	1	4
LIN28A	9	1	1	2	1	4
DHDDS	9	1	1	3	1	4
HMGN2	9	1	1	2	1	4
RPS6KA1	10	1	1	3	1	2
ARID1A	6	3	1	2	0	1
PIGV	12	5	2	3	1	1
ZDHHC18	12	2	4	3	1	1
SFN	11	2	4	3	1	1
GPN2	11	2	3	3	1	1
GPATCH3	12	2	3	3	1	1
NUDC	11	3	3	2	1	1
TRNP1	5	1	1	0	0	0
FAM46B	9	1	1	0	0	0
SLC9A1	8	2	0	0	1	1
WDTC1	8	2	1	0	1	1
TMEM222	15	0	1	0	0	0
SYTL1	15	0	1	0	0	0
MAP3K6	15	0	1	0	0	0
FCN3	15	0	1	0	0	0
CD164L2	15	0	1	0	0	0
GPR3	14	0	1	1	0	1
WASF2	9	3	1	2	0	1
AHDC1	13	4	2	1	0	0
FGR	13	4	2	1	1	0
IFI6	11	1	1	0	1	0
FAM76A	8	1	1	0	1	1
STX12	4	1	1	0	1	1
PPP1R8	1	1	2	0	0	1
THEMIS2	3	1	2	0	0	1
RPA2	4	1	1	0	0	0
SMPDL3B	4	0	1	0	0	0
EYA3	4	1	1	0	0	0
PTAFR	3	4	0	1	0	0
DNAJC8	3	4	1	1	0	0
ATPIF1	3	4	1	1	0	0
SESN2	3	4	1	2	0	0
MED18	4	6	3	2	0	1
PHACTR4	4	5	3	1	0	1
RCC1	5	6	1	0	2	2
TRNAU1AP	6	5	3	0	2	3
TAF12	6	4	4	0	2	2
GMEB1	6	4	3	0	2	2
YTHDF2	6	2	3	0	1	1
EPB41	6	2	0	3	2	0
TMEM200B	7	0	1	1	0	0
SRSF4	10	1	1	1	0	0
MECR	8	1	1	1	0	0
PTPRU	9	1	1	1	0	0
LAPTM5	11	0	1	0	1	1
SDC3	5	0	0	1	0	1
PUM1	3	1	0	1	0	0
SNRNP40	4	0	0	0	0	3
ZCCHC17	4	0	0	0	0	3
FABP3	6	1	2	0	0	3
SERINC2	6	2	3	0	0	2
TINAGL1	9	4	2	3	0	1
PEF1	11	4	1	4	0	2
COL16A1	13	3	2	2	0	2
PTP4A2	6	9	2	5	2	4
KHDRBS1	9	7	3	8	2	4
TMEM39B	6	0	2	4	1	2
KPNA6	4	0	3	3	1	2
TXLNA	7	0	2	2	1	0
CCDC28B	7	0	2	2	1	0
IQCC	6	0	2	2	1	0
EIF3I	6	0	2	0	1	0
TMEM234	6	0	2	0	1	0
FAM167B	6	0	2	0	0	0
LCK	7	0	2	0	0	0
HDAC1	7	0	1	0	0	0
MARCKSL1	7	0	0	0	0	0
BSDC1	8	0	0	0	0	0
ZBTB8A	5	0	0	1	0	0
ZBTB8OS	7	0	1	1	1	0
RBBP4	7	0	1	1	1	0
SYNC	9	3	2	1	1	0
KIAA1522	10	4	2	1	1	0
S100PBP	10	4	1	1	1	2
FNDC5	8	3	1	2	1	4
HPCA	7	2	0	2	1	4
TMEM54	6	1	0	2	1	4
RNF19B	10	2	0	4	1	3
AK2	9	2	0	4	1	2
ZNF362	4	0	1	0	0	2
PHC2	6	1	1	2	0	0
ZSCAN20	2	1	1	1	0	0
CSMD2	1	0	0	0	0	1
GJB5	9	0	2	1	0	1
GJB4	10	0	2	2	0	1
GJB3	12	0	3	2	0	1
GJA4	11	0	3	2	0	1
SMIM12	10	0	3	2	0	2
DLGAP3	5	0	2	2	0	2
ZMYM6	0	0	1	1	0	0
SFPQ	3	0	0	0	0	0
ZMYM4	5	0	0	0	0	0
KIAA0319L	6	1	1	3	1	1
NCDN	6	1	1	3	1	1
TFAP2E	6	1	1	1	1	2
PSMB2	8	1	1	2	1	2
CLSPN	4	0	2	1	0	0
AGO4	5	0	2	1	0	3
AGO1	3	0	2	1	0	3
AGO3	2	0	1	1	0	3
TEKT2	5	1	1	1	0	0
ADPRHL2	6	1	1	1	0	0
COL8A2	9	2	3	1	0	0
MAP7D1	9	3	3	2	1	0
TRAPPC3	9	3	3	2	1	0
THRAP3	9	3	2	1	2	0
SH3D21	8	4	6	1	4	1
EVA1B	7	4	6	1	4	1
STK40	7	3	4	1	3	1
LSM10	7	3	4	1	3	1
OSCP1	8	3	4	1	2	1
MRPS15	9	3	4	1	2	1
CSF3R	9	2	3	1	2	0
GRIK3	4	0	0	1	0	2
ZC3H12A	10	4	5	3	2	1
MEAF6	10	4	6	3	2	0
SNIP1	10	4	6	3	2	0
DNALI1	9	3	5	2	1	0
GNL2	7	2	4	0	1	0
C1orf109	4	1	2	1	1	2
CDCA8	4	1	2	1	1	2
EPHA10	4	1	4	2	1	3
MANEAL	3	0	3	2	0	4
C1orf122	3	0	3	2	0	4
YRDC	3	0	3	2	0	4
MTF1	5	0	3	1	0	5
INPP5B	12	2	4	3	0	2
SF3A3	11	2	3	4	0	3
FHL3	11	2	3	4	0	3
POU3F1	11	2	3	4	0	3
RRAGC	4	0	2	1	1	0
RHBDL2	3	0	3	2	1	0
AKIRIN1	4	0	1	1	1	0
NDUFS5	6	1	1	1	1	0
MACF1	7	2	1	2	0	1
BMP8A	6	2	3	0	0	1
PABPC4	9	0	1	0	1	2
HEYL	9	1	2	1	1	3
NT5C1A	9	1	1	1	1	3
HPCAL4	8	1	2	1	1	2
PPIE	7	1	2	1	0	1
BMP8B	4	0	2	0	0	1
TRIT1	5	0	1	0	0	0
MYCL	4	0	0	0	0	0
MFSD2A	4	0	3	0	0	0
CAP1	4	0	3	0	0	0
PPT1	7	0	3	0	1	0
RLF	7	0	1	1	1	0
ZMPSTE24	6	0	1	1	1	0
COL9A2	4	0	2	0	0	1
SMAP2	5	0	1	0	0	1
ZFP69B	3	0	2	0	0	1
ZFP69	3	0	1	0	0	0
EXO5	3	0	1	0	0	0
ZNF684	6	0	1	0	0	0
RIMS3	7	0	0	2	0	2
NFYC	10	0	0	2	0	2
KCNQ4	8	3	0	4	0	0
CITED4	11	4	0	2	0	0
CTPS1	6	2	0	0	0	0
SLFNL1	6	4	0	1	0	0
SCMH1	5	1	0	0	0	1
FOXO6	11	1	1	1	0	1
EDN2	15	4	1	3	0	2
HIVEP3	0	0	0	0	0	1
FOXJ3	4	0	1	0	0	1
RIMKLA	2	0	2	0	0	1
ZMYND12	2	0	1	0	0	1
PPCS	2	0	1	0	0	1
CCDC30	3	0	1	0	0	0
PPIH	5	0	3	0	0	0
YBX1	6	0	3	0	0	0
CLDN19	6	0	3	1	1	0
C1orf50	8	0	3	1	1	1
ERMAP	9	0	2	2	1	1
ZNF691	10	3	2	3	2	1
SLC2A1	5	5	0	5	1	0
EBNA1BP2	7	1	1	1	1	2
TMEM125	6	2	2	2	2	2
C1orf210	7	2	1	2	2	2
TIE1	7	3	2	3	2	2
MPL	6	2	2	2	1	0
CDC20	5	2	2	2	1	0
ELOVL1	5	2	2	2	1	0
MED8	5	5	2	2	1	1
SZT2	5	5	2	2	1	1
HYI	5	6	1	1	1	1
PTPRF	3	4	0	1	0	1
KDM4A	4	2	0	1	0	2
ST3GAL3	3	3	0	0	2	2
ARTN	11	2	3	2	1	3
IPO13	13	2	3	3	1	3
DPH2	14	1	3	3	1	2
ATP6V0B	14	0	3	3	1	2
B4GALT2	14	0	3	3	1	2
CCDC24	14	0	2	4	1	2
SLC6A9	15	1	2	4	1	2
DMAP1	4	4	1	0	1	0
ERI3	5	1	1	2	0	0
RNF220	4	1	1	3	1	0
TMEM53	11	0	1	1	1	1
C1orf228	11	0	1	1	1	1
KIF2C	13	3	2	1	2	1
RPS8	11	3	1	1	2	1
PLK3	10	3	1	1	2	1
BTBD19	9	3	1	1	2	1
PTCH2	7	3	1	1	1	1
EIF2B3	4	1	0	3	0	0
HECTD3	4	1	0	3	1	0
UROD	4	1	0	3	1	0
ZSWIM5	3	0	1	2	1	1
HPDL	5	0	2	2	1	0
TOE1	4	0	2	2	1	0
MUTYH	4	0	2	2	1	0
TESK2	8	1	3	2	2	1
MMACHC	8	1	3	2	2	1
PRDX1	7	1	3	2	2	1
AKR1A1	7	1	3	2	2	1
NASP	7	1	3	2	2	1
CCDC17	2	1	3	1	0	0
GPBP1L1	0	1	1	1	1	0
TMEM69	0	1	1	1	1	0
IPP	0	1	1	1	1	0
MAST2	1	0	0	1	1	0
TSPAN1	9	2	1	1	1	0
PIK3R3	9	2	1	1	1	0
LURAP1	9	2	1	1	1	0
POMGNT1	9	2	2	0	1	0
RAD54L	11	0	3	0	2	0
LRRC41	7	0	3	0	2	0
UQCRH	7	0	3	0	2	0
NSUN4	12	0	3	0	2	0
FAAH	16	0	2	0	1	1
DMBX1	18	0	0	1	0	1
MKNK1	7	0	1	1	1	0
MOB3C	7	0	1	1	1	0
ATPAF1	5	0	2	2	1	1
EFCAB14	6	0	2	2	1	2
CYP4X1	4	0	0	0	0	0
PDZK1IP1	7	0	2	0	0	2
TAL1	8	0	3	2	0	2
STIL	5	0	1	3	0	1
CMPK1	7	0	1	3	0	1
FOXD2	10	0	0	1	0	1
TRABD2B	8	4	0	3	1	0
SPATA6	3	0	0	0	1	2
BEND5	6	0	0	0	0	1
ELAVL4	0	0	0	0	0	0
DMRTA2	5	0	0	0	0	0
FAF1	6	3	1	2	0	0
CDKN2C	6	3	1	2	0	0
RNF11	7	1	1	2	1	0
TTC39A	3	1	1	1	0	0
EPS15	3	3	0	1	0	0
OSBPL9	4	5	0	2	0	0
RAB3B	5	1	2	0	0	1
KTI12	4	1	2	0	0	1
TXNDC12	3	1	3	0	0	1
BTF3L4	3	1	3	0	0	1
ZFYVE9	2	1	2	1	0	0
CC2D1B	5	0	1	3	0	0
ORC1	4	0	1	3	0	0
PRPF38A	4	0	1	3	0	0
ZCCHC11	1	0	0	0	0	0
GPX7	6	0	0	0	0	0
FAM159A	6	0	0	0	0	0
COA7	6	0	0	0	0	0
ZYG11B	6	0	0	0	0	0
ZYG11A	2	0	0	0	0	0
ECHDC2	2	0	1	1	0	1
SCP2	2	0	1	1	0	1
PODN	1	0	1	1	0	1
CPT2	7	2	3	1	0	1
C1orf123	7	2	3	1	0	1
MAGOH	7	2	3	2	1	1
LRP8	8	1	1	2	1	0
GLIS1	11	0	0	0	0	0
NDC1	8	0	1	0	0	0
YIPF1	9	1	1	0	0	0
DIO1	10	1	1	0	0	0
HSPB11	7	2	0	0	0	0
LRRC42	7	2	0	0	0	0
LDLRAD1	6	2	2	1	0	0
TCEANC2	6	2	2	1	0	0
TMEM59	6	2	2	1	0	0
CYB5RL	6	0	0	0	0	0
MRPL37	6	0	0	0	0	0
SSBP3	3	1	1	1	0	0
ACOT11	6	1	1	1	0	0
TTC4	6	0	2	0	0	4
PARS2	7	0	2	0	0	4
TTC22	7	0	2	0	0	4
DHCR24	10	0	0	0	0	2
TMEM61	9	1	2	1	0	0
PCSK9	9	1	2	1	0	0
USP24	6	0	0	0	0	1
PRKAA2	2	0	0	0	1	1
C1orf168	4	0	0	0	0	0
DAB1	3	0	0	0	0	3
OMA1	2	2	1	1	0	1
TACSTD2	3	2	1	1	0	0
MYSM1	6	3	1	1	2	1
JUN	11	8	3	3	5	1
FGGY	1	0	0	0	0	2
HOOK1	7	0	0	2	1	0
CYP2J2	6	0	0	0	0	0
NFIA	4	2	0	5	1	2
TM2D1	1	0	1	0	3	0
L1TD1	7	1	0	2	0	1
KANK4	5	3	0	2	0	1
USP1	3	2	1	2	0	1
DOCK7	1	1	1	2	0	0
ATG4C	2	1	1	2	0	0
FOXD3	3	0	1	1	0	0
ALG6	5	0	1	1	0	0
ITGB3BP	4	0	2	0	0	1
EFCAB7	4	0	2	0	0	1
PGM1	4	1	2	1	0	1
ROR1	5	3	0	1	0	1
RAVER2	5	0	0	1	0	0
JAK1	5	0	0	0	0	1
AK4	6	0	0	2	0	1
DNAJC6	4	0	0	2	0	2
LEPROT	2	1	1	1	0	1
LEPR	2	1	1	1	0	1
PDE4B	0	0	0	1	0	0
SGIP1	5	2	0	0	0	2
TCTEX1D1	2	0	0	0	0	0
WDR78	1	0	1	0	0	0
MIER1	1	0	1	0	0	0
SLC35D1	2	0	0	0	0	0
IL23R	3	0	0	1	0	0
IL12RB2	4	0	0	1	0	0
SERBP1	6	0	2	0	0	1
GADD45A	5	4	0	4	3	1
GNG12	6	2	1	0	1	0
DIRAS3	3	0	0	1	0	0
WLS	2	1	1	3	0	0
DEPDC1	5	0	0	0	0	0
LRRC7	2	0	0	0	0	1
LRRC40	3	0	0	1	0	0
SRSF11	3	0	0	1	0	0
ANKRD13C	1	1	0	3	0	1
HHLA3	1	1	0	3	0	1
CTH	3	2	0	3	0	1
PTGER3	2	1	1	1	0	0
ZRANB2	2	1	1	2	0	0
NEGR1	1	1	0	2	0	0
LRRIQ3	0	0	0	0	0	0
FPGT	0	0	0	0	0	0
FPGT-TNNI3K	0	0	0	0	0	0
TNNI3K	0	0	0	0	0	0
TYW3	4	1	0	0	0	0
CRYZ	4	1	0	0	0	0
LHX8	1	2	0	0	0	0
ACADM	1	0	0	2	1	0
RABGGTB	0	0	0	1	0	0
MSH4	0	0	0	1	0	0
ST6GALNAC3	2	0	0	0	0	0
ST6GALNAC5	1	0	0	0	0	0
PIGK	2	0	0	1	0	0
AK5	1	0	0	1	0	0
ZZZ3	1	1	3	1	0	0
USP33	1	1	3	1	0	0
FAM73A	1	1	3	1	0	0
NEXN	3	0	0	0	0	0
DNAJB4	4	2	0	1	1	0
FUBP1	4	2	0	1	1	0
GIPC2	5	3	1	1	1	0
PTGFR	0	0	0	0	0	0
IFI44L	3	0	0	0	0	0
IFI44	3	0	0	0	0	0
TTLL7	2	0	1	3	0	0
PRKACB	1	1	1	0	1	0
SAMD13	0	1	0	2	0	0
RPF1	3	0	1	0	0	1
GNG5	4	0	1	0	0	2
CTBS	4	0	1	0	0	2
SSX2IP	8	0	0	0	0	1
LPAR3	3	1	0	1	1	0
MCOLN2	2	1	0	1	1	0
MCOLN3	1	1	0	0	0	0
WDR63	1	0	0	0	0	0
SYDE2	6	3	3	1	0	0
C1orf52	8	7	4	2	0	0
BCL10	8	7	4	3	0	0
DDAH1	7	7	2	0	0	0
CYR61	7	7	2	0	0	0
ZNHIT6	2	0	0	0	0	0
COL24A1	0	0	0	1	0	0
ODF2L	4	1	0	1	1	0
CLCA2	9	1	0	1	1	0
CLCA1	9	1	0	1	1	0
CLCA4	7	0	0	0	0	0
SH3GLB1	5	2	0	1	0	0
SEP15	2	0	0	0	0	0
HS2ST1	2	0	0	0	0	0
LMO4	3	1	0	1	0	0
PKN2	4	0	1	0	0	1
GTF2B	3	2	0	1	2	1
RBMXL1	3	0	0	0	0	0
GBP3	3	0	0	1	0	0
GBP1	3	1	0	1	0	0
GBP2	2	1	0	2	0	0
GBP4	1	1	0	3	0	0
GBP5	1	0	0	3	0	0
GBP6	2	0	0	3	0	0
LRRC8B	7	0	0	3	1	1
LRRC8C	4	0	0	1	0	1
LRRC8D	4	4	0	5	3	1
ZNF326	3	3	1	4	3	1
BARHL2	2	0	0	1	0	1
ZNF644	1	0	0	2	0	0
CDC7	5	2	0	3	1	0
TGFBR3	6	3	0	3	0	0
EPHX4	2	0	0	2	0	0
BTBD8	2	0	0	2	0	0
RPAP2	1	0	0	0	1	0
GLMN	1	0	0	0	1	0
GFI1	1	0	0	0	0	0
EVI5	5	2	0	2	2	1
RPL5	5	2	0	1	1	1
FAM69A	5	0	0	1	1	1
MTF2	4	2	0	1	1	2
TMED5	0	0	0	1	0	0
CCDC18	0	0	0	1	0	0
DR1	2	3	1	2	0	3
FNBP1L	2	0	0	3	0	1
BCAR3	13	11	1	5	2	5
DNTTIP2	12	9	1	5	2	3
GCLM	12	6	1	3	2	3
ARHGAP29	3	2	0	3	0	0
ABCD3	5	2	0	0	0	0
F3	7	3	1	5	3	1
SLC44A3	5	2	0	2	1	0
CNN3	1	3	0	2	0	0
ALG14	4	0	0	3	2	0
TMEM56	4	0	0	2	2	0
RWDD3	2	0	1	1	1	1
PTBP2	0	0	0	0	0	0
DPYD	1	3	0	1	1	0
SNX7	1	0	0	1	0	0
PALMD	6	8	0	2	0	1
AGL	1	0	2	0	0	0
SLC35A3	3	1	2	1	1	0
SASS6	2	2	2	0	1	0
TRMT13	2	2	2	0	1	0
DBT	0	0	1	1	0	0
RTCA	2	0	1	1	0	0
CDC14A	2	0	1	1	0	0
VCAM1	1	0	1	0	0	0
EXTL2	5	1	3	1	0	0
DPH5	1	1	0	1	0	0
S1PR1	5	2	0	2	1	1
OLFM3	0	0	0	0	0	1
COL11A1	1	0	0	0	0	0
RNPC3	1	0	0	0	0	0
PRMT6	3	1	1	0	0	2
NTNG1	3	1	1	0	0	2
VAV3	1	1	0	1	0	2
SLC25A24	3	1	1	2	1	1
FAM102B	6	10	0	3	3	0
HENMT1	6	6	3	3	3	1
PRPF38B	4	3	3	3	2	1
STXBP3	4	3	4	3	2	1
AKNAD1	1	0	1	1	1	1
GPSM2	1	1	1	1	2	1
CLCC1	0	1	0	0	2	1
WDR47	4	1	3	0	1	2
TAF13	4	0	3	0	0	2
C1orf194	7	1	5	1	0	4
KIAA1324	7	1	5	1	0	4
SARS	10	3	5	3	1	2
PSRC1	10	3	5	3	1	2
MYBPHL	7	3	4	2	1	0
SORT1	3	2	2	2	0	3
PSMA5	5	2	2	2	0	3
SYPL2	9	3	4	2	0	3
ATXN7L2	9	3	4	2	0	3
CYB561D1	9	3	4	2	0	3
AMIGO1	10	3	4	2	0	3
GNAI3	14	2	5	2	2	2
AMPD2	12	4	4	3	4	0
GSTM4	8	4	2	3	4	0
GSTM2	8	5	2	3	4	0
GSTM1	11	6	2	5	5	0
GSTM5	13	7	2	6	6	0
GSTM3	13	8	1	5	6	0
EPS8L3	11	5	0	5	6	0
CSF1	8	13	2	3	4	0
AHCYL1	9	10	2	2	2	0
STRIP1	11	7	0	2	2	0
ALX3	13	6	0	2	2	1
SLC6A17	11	0	2	0	0	2
KCNC4	7	0	2	1	0	2
RBM15	6	0	2	5	1	0
SLC16A4	13	1	2	5	1	0
LAMTOR5	14	1	2	4	1	0
KCNA2	6	0	0	0	0	2
KCNA3	6	0	0	0	0	1
CD53	7	2	1	2	1	2
LRIF1	9	2	1	2	1	1
CEPT1	2	1	0	1	1	0
DRAM2	2	1	0	1	1	0
DENND2D	2	0	0	1	0	0
CHI3L2	2	0	0	0	0	0
PIFO	3	0	0	0	0	0
ATP5F1	6	0	0	0	0	0
WDR77	6	0	0	0	0	0
C1orf162	8	0	0	0	0	0
ADORA3	7	0	0	1	0	0
RAP1A	5	0	0	2	0	0
DDX20	10	3	1	2	1	1
FAM212B	10	3	1	2	1	1
