ATF2	ELF1	ETV6	IKZF1	IKZF2	IRF3	IRF5	NFATC1	NR2F1	PAX8	PKNOX1	RUNX3	STAT1	STAT5A	TCF12
DRAXIN	1	5	1	3	3	0	1	1	5	0	1	5	0	2	1
AGTRAP	0	3	1	2	2	0	0	1	3	0	2	4	0	2	0
C1orf167	0	6	1	6	2	0	0	0	3	0	4	5	0	0	1
CLCN6	0	4	0	5	0	0	0	1	3	0	3	1	0	1	1
MTHFR	0	4	0	5	0	0	0	1	3	0	3	1	0	1	1
KIAA2013	3	10	4	6	2	0	0	4	4	3	4	7	3	2	3
PLOD1	3	11	4	6	2	0	0	4	6	3	6	7	3	2	3
MFN2	1	5	0	3	0	1	0	0	6	0	4	3	1	0	1
MIIP	14	7	7	18	17	1	0	6	13	1	9	14	1	6	5
TNFRSF8	17	8	9	23	22	1	0	8	11	1	6	21	2	9	5
TNFRSF1B	6	6	5	18	14	0	0	6	16	0	6	24	2	0	0
VPS13D	0	2	1	5	3	1	0	0	7	0	0	7	2	0	1
DHRS3	0	0	0	6	4	0	0	0	4	0	3	3	0	0	0
LRRC38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDPN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM2	4	8	1	4	1	0	0	3	2	0	10	12	0	2	2
KAZN	0	0	0	1	0	0	0	0	0	0	1	3	0	0	1
TMEM51	1	1	1	5	3	0	0	1	2	0	1	6	0	0	1
FHAD1	3	4	1	5	5	0	0	0	2	0	4	5	1	0	3
EFHD2	3	3	2	5	4	0	0	3	5	0	3	6	0	4	0
CELA2A	3	3	2	7	4	0	0	2	6	0	4	6	0	4	0
CELA2B	0	4	0	4	1	0	0	1	3	0	4	3	0	2	1
CASP9	0	7	0	4	3	0	0	0	2	1	3	4	1	0	1
DNAJC16	0	7	0	4	3	0	0	0	2	1	3	4	1	0	1
AGMAT	2	5	1	2	3	1	0	0	3	0	1	6	0	0	1
DDI2	2	5	1	2	3	1	0	0	3	0	1	6	0	0	1
PLEKHM2	1	3	1	2	3	0	0	0	1	0	3	2	1	0	1
FBLIM1	0	1	0	1	0	0	0	0	1	0	1	1	0	0	1
SPEN	3	4	0	10	10	1	1	1	2	0	8	11	2	2	1
ZBTB17	10	3	2	8	5	0	0	5	10	0	7	9	1	4	2
HSPB7	3	4	0	5	1	0	0	3	7	0	5	6	2	2	0
CLCNKB	0	3	0	3	0	0	0	2	5	0	4	5	1	2	0
FAM131C	1	2	0	4	0	0	0	1	2	0	4	3	1	0	0
EPHA2	1	0	0	3	0	0	0	0	3	0	0	8	0	0	0
ARHGEF19	0	2	0	2	2	0	0	0	2	0	3	2	0	0	2
RSG1	0	2	0	2	2	0	0	0	2	0	3	2	0	0	2
FBXO42	3	5	2	4	2	1	0	1	6	1	5	6	1	1	0
SZRD1	3	5	2	4	2	1	0	1	7	1	5	6	1	1	0
NECAP2	1	1	2	3	2	0	0	1	3	0	3	3	0	1	0
CROCC	3	4	2	3	3	1	0	2	3	0	3	5	1	2	2
MFAP2	1	2	0	1	1	0	0	0	1	0	1	5	0	0	1
ATP13A2	2	2	0	1	1	0	0	0	2	0	3	5	0	0	1
SDHB	3	3	0	2	2	0	0	0	7	0	4	5	0	0	1
PADI2	3	4	2	7	5	0	0	1	7	1	5	2	0	0	1
PADI1	1	3	0	1	2	0	0	0	2	0	1	2	0	0	0
PADI3	1	2	0	1	2	0	0	0	2	0	1	3	0	0	0
PADI4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RCC2	1	1	0	3	3	0	0	1	3	0	1	7	0	0	0
ARHGEF10L	1	0	0	2	1	0	0	0	4	0	1	2	0	0	1
ACTL8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAX7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDH4A1	4	4	2	7	4	3	0	0	4	0	2	8	1	1	2
IFFO2	5	3	2	8	5	1	0	0	5	0	1	8	0	0	0
UBR4	2	4	0	0	0	1	1	1	2	0	1	5	2	0	2
EMC1	1	3	0	0	0	1	1	0	2	0	1	3	2	0	1
MRTO4	1	3	0	0	0	1	1	0	2	0	1	3	2	0	1
AKR7A2	1	2	2	3	2	0	0	0	4	0	0	3	1	1	1
PQLC2	1	2	2	3	2	0	0	0	4	0	0	3	1	1	1
CAPZB	2	3	0	5	4	0	0	0	4	0	2	8	0	0	0
MINOS1	2	1	0	2	1	0	1	0	3	0	1	2	0	0	0
MINOS1-NBL1	2	1	0	2	1	0	1	0	3	0	1	2	0	0	0
NBL1	2	1	0	2	1	0	1	0	3	0	3	4	0	0	0
TMCO4	0	1	0	2	0	0	0	0	3	0	0	2	0	0	0
OTUD3	0	1	0	0	0	0	0	0	2	0	1	2	0	0	0
PLA2G2D	2	2	0	8	3	0	0	2	4	0	2	5	1	1	2
PLA2G2F	0	1	0	4	1	0	0	2	3	0	2	3	1	1	1
UBXN10	0	2	0	1	0	0	0	2	0	0	2	0	1	1	0
CAMK2N1	0	2	1	1	0	0	0	0	1	0	2	2	0	0	0
MUL1	0	2	1	1	0	0	0	0	1	0	2	2	0	0	0
FAM43B	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0
CDA	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0
PINK1	1	2	1	1	1	1	0	0	2	0	3	3	0	1	1
DDOST	1	2	1	3	1	1	0	0	2	0	5	4	0	1	1
SH2D5	0	1	0	2	0	0	0	0	1	0	3	2	0	0	0
HP1BP3	0	3	0	0	0	0	0	0	2	0	1	1	0	0	0
EIF4G3	0	2	1	4	1	0	0	0	2	1	0	5	0	0	0
ECE1	2	3	1	13	8	2	0	2	7	0	3	7	0	3	3
NBPF3	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0
ALPL	0	1	0	4	2	0	0	0	2	0	2	2	0	0	0
RAP1GAP	0	2	1	1	0	0	0	1	2	0	1	1	0	0	0
USP48	6	7	1	9	9	0	0	1	7	1	7	9	1	1	0
HSPG2	0	2	0	5	0	0	0	0	2	0	2	1	0	0	0
CDC42	4	6	3	9	8	0	0	2	7	0	6	8	3	2	1
WNT4	1	0	1	4	4	0	0	2	1	0	3	4	0	0	1
ZBTB40	1	2	1	0	0	0	0	0	1	0	1	1	1	0	1
EPHA8	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0
C1QA	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0
C1QC	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0
C1QB	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0
EPHB2	3	0	1	2	1	0	1	4	1	0	2	4	0	1	1
KDM1A	1	3	1	4	2	0	0	1	1	0	1	5	0	0	0
LUZP1	0	3	0	1	2	0	0	0	2	0	1	4	0	0	0
HTR1D	0	3	0	1	2	0	0	0	2	0	1	4	0	0	0
HNRNPR	1	3	0	4	4	2	0	0	2	0	3	4	0	0	2
ZNF436	1	3	0	4	4	2	0	0	2	0	3	4	0	0	2
TCEA3	1	0	0	1	1	0	0	0	1	0	1	1	0	0	1
ASAP3	3	3	3	4	3	0	0	1	1	0	5	5	0	0	3
E2F2	9	7	5	18	14	0	0	6	9	0	7	14	1	6	5
ID3	13	8	8	28	21	0	0	7	15	0	8	21	1	8	6
MDS2	5	2	6	20	15	0	0	2	10	0	4	13	0	3	3
RPL11	4	2	3	8	7	0	0	3	6	2	3	12	2	1	2
TCEB3	2	4	4	9	5	0	0	3	7	0	5	15	1	2	2
PITHD1	4	8	3	5	2	0	0	1	5	0	4	16	1	3	1
LYPLA2	3	8	1	5	2	0	0	1	3	0	3	13	0	3	1
GALE	3	7	1	5	2	0	0	1	1	0	2	11	0	3	1
HMGCL	4	9	3	7	3	0	0	2	4	0	3	10	0	3	2
FUCA1	6	8	3	16	9	1	0	2	5	0	4	16	0	4	2
CNR2	5	9	4	16	9	3	1	2	5	0	5	15	0	6	1
PNRC2	6	8	2	12	8	3	2	3	3	0	5	15	2	4	0
SRSF10	4	5	1	6	5	2	2	2	3	0	4	9	2	2	0
MYOM3	0	0	0	1	0	0	0	1	0	0	0	4	0	0	0
IFNLR1	3	1	3	6	8	0	0	1	3	0	0	14	0	1	1
GRHL3	1	1	2	2	3	0	0	1	1	0	2	6	0	0	1
NIPAL3	2	2	2	4	2	1	0	0	0	0	3	8	2	1	1
STPG1	2	2	2	4	2	1	0	0	0	0	3	8	2	1	1
RCAN3	1	2	2	3	3	0	0	0	1	1	2	6	0	0	0
NCMAP	1	1	1	1	2	0	0	0	1	1	1	4	0	0	0
SRRM1	0	1	0	3	2	1	0	0	2	0	1	4	0	2	1
CLIC4	6	2	1	10	9	1	0	1	5	2	2	6	0	0	1
RUNX3	11	6	6	22	14	1	0	8	12	0	5	22	4	6	5
SYF2	2	7	3	4	2	0	0	4	3	3	7	6	2	4	0
RHD	2	7	3	5	2	0	0	3	3	3	6	5	2	4	0
TMEM50A	0	2	0	2	1	0	0	0	1	0	1	1	0	1	0
RHCE	2	3	0	1	3	1	0	1	4	0	2	4	0	0	2
TMEM57	2	4	0	2	3	1	0	1	7	0	4	4	0	0	4
LDLRAP1	1	4	0	6	4	0	0	1	4	0	0	5	0	0	1
SEPN1	0	6	0	2	5	0	1	1	5	2	4	11	0	0	1
MTFR1L	1	7	1	4	7	0	1	2	6	2	4	12	0	0	2
AUNIP	2	8	1	5	6	1	1	1	6	2	3	10	1	0	2
STMN1	2	4	1	3	3	1	0	1	4	0	1	6	1	0	2
PAFAH2	1	1	1	1	2	1	0	1	2	0	1	3	3	1	0
TRIM63	0	1	0	1	0	0	1	0	0	0	0	3	4	0	1
PDIK1L	0	1	0	1	0	0	1	0	1	0	2	3	2	0	1
FAM110D	1	2	0	2	0	1	2	0	4	0	2	5	2	0	2
ZNF593	1	1	0	1	0	1	1	0	4	0	2	3	0	0	1
CNKSR1	1	1	0	1	0	1	1	0	3	0	1	2	0	0	1
CEP85	4	4	0	4	1	1	0	2	3	0	2	6	0	1	0
SH3BGRL3	6	9	0	12	6	2	0	2	7	0	8	15	0	2	0
CD52	3	8	0	11	5	1	0	2	7	0	8	14	0	1	0
UBXN11	3	8	0	11	5	1	0	2	7	0	8	14	0	1	0
ZNF683	0	2	0	2	1	0	0	0	1	0	2	4	0	0	1
LIN28A	2	3	0	4	2	2	0	0	1	1	4	5	1	0	2
DHDDS	2	5	0	3	2	2	0	1	1	1	3	3	1	2	2
HMGN2	2	5	0	6	4	3	0	1	3	1	2	5	1	2	3
RPS6KA1	2	5	2	11	6	1	0	2	7	0	3	12	0	1	2
ARID1A	8	5	5	9	5	0	0	1	6	0	6	18	2	6	0
PIGV	5	6	6	10	6	0	0	10	12	2	3	10	2	2	0
ZDHHC18	5	7	6	10	8	1	0	11	9	2	4	12	1	2	1
SFN	4	6	3	6	7	1	1	4	6	1	3	8	0	1	1
GPN2	2	5	0	2	2	2	1	2	0	1	3	5	0	0	1
GPATCH3	2	5	0	2	2	2	1	2	0	1	3	5	0	0	1
NUDC	2	4	0	1	1	1	1	2	0	1	2	3	0	0	1
TRNP1	0	2	0	2	2	0	0	0	4	0	3	0	0	0	0
FAM46B	0	2	0	3	2	0	0	0	5	0	5	1	0	0	0
SLC9A1	2	5	2	5	4	0	0	2	6	0	5	4	1	1	1
WDTC1	0	1	0	3	2	1	0	1	2	0	3	5	2	0	0
TMEM222	2	5	1	7	6	1	0	1	8	0	3	11	1	2	0
SYTL1	2	5	1	7	6	1	0	1	8	0	3	9	1	2	0
MAP3K6	3	5	1	9	7	1	0	2	9	0	4	11	1	4	2
FCN3	1	4	0	9	8	0	0	2	7	0	2	11	0	3	2
CD164L2	1	4	0	9	8	0	0	2	7	0	2	12	0	3	2
GPR3	2	5	0	10	8	0	0	2	8	0	3	13	0	2	2
WASF2	4	5	0	6	4	1	0	3	5	0	2	7	1	1	0
AHDC1	6	13	4	22	14	0	1	7	18	1	9	18	2	5	5
FGR	8	14	6	30	20	0	2	7	21	1	12	22	2	6	5
IFI6	8	11	5	21	16	0	2	4	13	1	7	17	2	6	5
FAM76A	2	4	0	3	4	1	1	0	2	0	2	6	0	0	1
STX12	2	4	0	2	3	1	1	0	1	0	2	5	0	0	1
PPP1R8	1	5	4	15	9	0	0	3	7	0	4	9	1	1	1
THEMIS2	3	10	8	25	17	0	1	3	11	3	9	15	1	1	3
RPA2	3	9	7	21	13	0	1	1	11	3	6	10	1	1	3
SMPDL3B	3	5	3	11	8	0	1	0	3	2	3	7	0	0	1
EYA3	3	4	1	9	7	0	0	0	4	0	5	11	0	3	0
PTAFR	5	10	9	10	8	1	0	4	7	2	5	18	0	4	5
DNAJC8	3	8	4	8	4	2	0	3	4	1	6	13	0	4	5
ATPIF1	3	8	4	8	4	2	0	3	4	1	6	13	0	4	5
SESN2	1	5	2	7	4	2	0	1	3	1	4	9	0	2	3
MED18	1	2	2	5	2	0	0	0	4	0	2	5	1	3	1
PHACTR4	1	2	1	4	2	0	0	0	4	0	3	5	1	3	0
RCC1	8	3	0	2	1	0	1	6	2	1	5	4	2	7	1
TRNAU1AP	10	7	0	8	7	1	1	9	7	1	6	8	3	8	1
TAF12	4	5	3	8	7	2	0	2	5	1	3	6	2	2	2
GMEB1	3	5	3	5	4	2	0	2	3	1	3	4	2	2	2
YTHDF2	2	2	1	1	1	0	0	0	2	0	3	3	1	0	2
EPB41	2	6	0	3	2	1	0	0	3	0	2	3	0	0	2
TMEM200B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRSF4	1	3	0	6	3	1	0	0	1	0	3	5	1	0	0
MECR	1	4	0	6	3	1	0	0	2	0	3	5	1	0	0
PTPRU	1	3	0	3	2	1	0	0	1	0	2	4	0	0	0
LAPTM5	11	9	8	27	18	1	0	7	18	3	12	27	3	11	3
SDC3	1	0	0	2	2	0	2	2	2	0	1	2	0	1	0
PUM1	0	3	0	2	3	0	0	0	1	1	1	1	0	2	0
SNRNP40	0	1	0	0	0	1	0	0	1	0	2	2	0	0	0
ZCCHC17	0	1	0	0	0	1	0	0	1	0	2	2	0	0	0
FABP3	0	1	0	3	1	1	0	0	1	0	1	2	0	0	0
SERINC2	0	2	0	5	2	1	1	0	4	0	2	3	0	0	1
TINAGL1	4	2	2	5	4	0	0	1	4	0	3	6	0	1	2
PEF1	2	2	2	4	3	0	0	1	2	0	3	7	3	3	1
COL16A1	1	0	1	6	1	0	0	0	1	0	1	4	0	0	0
PTP4A2	13	13	11	27	20	2	1	8	18	1	11	21	4	10	3
KHDRBS1	3	4	1	8	7	1	0	1	4	1	3	5	2	0	0
TMEM39B	0	2	0	2	1	0	0	2	0	0	2	5	1	0	0
KPNA6	0	2	0	3	1	0	0	1	0	0	2	6	1	0	0
TXLNA	2	5	1	8	2	1	0	1	3	0	5	7	1	0	2
CCDC28B	3	8	3	11	6	1	0	2	5	0	5	8	1	1	4
IQCC	5	8	4	14	8	1	0	2	5	0	5	10	1	1	4
EIF3I	5	8	4	14	8	1	0	2	5	0	4	11	1	1	4
TMEM234	5	8	4	14	8	1	0	2	5	0	4	11	1	1	4
FAM167B	4	7	4	13	8	1	0	1	5	0	2	9	1	1	4
LCK	3	7	4	12	8	1	0	1	5	0	2	8	1	1	4
HDAC1	4	3	3	12	7	1	0	1	4	0	1	13	0	1	4
MARCKSL1	1	3	0	7	3	1	0	1	5	0	1	9	0	0	3
BSDC1	2	4	0	4	3	0	0	1	3	0	2	2	0	0	1
ZBTB8A	0	1	0	1	0	0	0	0	2	0	1	0	0	0	0
ZBTB8OS	2	4	1	5	5	1	0	0	3	1	2	7	0	2	2
RBBP4	2	4	1	5	5	1	0	0	3	1	2	7	0	2	2
SYNC	0	1	0	2	1	0	0	0	2	0	0	3	0	0	1
KIAA1522	3	1	0	3	1	0	0	0	2	0	1	5	0	2	1
S100PBP	7	2	1	6	4	0	0	1	4	0	3	7	1	5	1
FNDC5	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0
HPCA	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0
TMEM54	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0
RNF19B	2	5	3	8	5	0	0	3	8	0	4	11	1	2	1
AK2	1	4	2	7	6	1	1	3	8	0	4	7	0	1	1
ZNF362	0	2	0	0	0	0	0	0	1	0	0	3	0	0	0
PHC2	0	3	0	4	1	0	0	0	2	0	0	3	0	1	0
ZSCAN20	3	3	2	7	6	1	0	1	2	1	2	9	0	1	2
CSMD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GJB5	0	1	0	1	1	0	0	0	1	0	1	3	0	0	0
GJB4	0	1	0	1	1	0	0	0	1	0	1	3	0	0	0
GJB3	0	1	0	1	1	0	0	0	1	0	1	3	0	0	0
GJA4	0	1	0	1	1	0	0	0	1	0	1	3	0	0	0
SMIM12	2	3	0	1	1	1	0	1	3	0	3	3	0	0	0
DLGAP3	0	1	1	3	3	0	0	0	1	0	1	1	0	0	0
ZMYM6	1	4	0	3	4	0	1	0	4	0	0	5	3	0	0
SFPQ	1	3	0	2	1	1	0	3	4	0	3	3	1	1	2
ZMYM4	0	1	0	2	2	0	0	0	3	0	2	4	0	0	0
KIAA0319L	3	5	1	2	1	1	0	1	3	0	1	3	1	1	1
NCDN	3	4	1	1	1	1	0	1	2	0	1	3	1	1	1
TFAP2E	3	4	1	1	1	1	0	1	2	0	1	3	1	1	1
PSMB2	0	2	0	1	0	0	1	0	0	0	0	1	0	0	0
CLSPN	0	2	0	3	4	0	0	0	5	0	2	7	0	0	1
AGO4	0	2	0	2	3	0	0	0	4	0	2	4	0	0	0
AGO1	0	2	1	2	0	0	0	0	2	0	1	1	1	2	0
AGO3	1	4	3	2	1	1	0	0	4	0	1	5	2	2	2
TEKT2	1	1	2	3	1	0	0	2	1	0	0	2	1	2	1
ADPRHL2	1	1	2	3	1	0	0	2	1	0	0	2	1	2	1
COL8A2	3	4	4	10	8	1	0	2	7	0	2	10	2	2	1
MAP7D1	3	4	3	9	9	1	0	1	6	0	2	10	1	1	0
TRAPPC3	3	4	3	9	9	1	0	1	6	0	2	10	1	1	0
THRAP3	0	2	1	4	3	0	0	1	1	0	2	2	1	1	2
SH3D21	0	2	2	4	2	1	0	3	2	0	2	5	0	1	1
EVA1B	0	3	3	6	5	1	0	3	3	0	2	6	0	1	1
STK40	1	6	4	9	7	1	0	2	3	0	6	8	0	0	3
LSM10	1	6	4	9	7	1	0	2	3	0	6	8	0	0	3
OSCP1	2	2	1	1	0	1	0	0	2	0	2	4	1	1	0
MRPS15	2	2	0	1	0	1	0	0	2	0	2	3	1	1	0
CSF3R	2	1	0	1	0	1	0	0	2	0	0	2	1	1	0
GRIK3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZC3H12A	1	6	2	6	5	0	0	2	6	0	1	13	4	2	2
MEAF6	1	7	2	6	5	0	0	2	5	0	2	12	5	2	2
SNIP1	2	4	0	3	2	0	0	1	1	0	2	6	3	0	0
DNALI1	2	4	0	3	2	0	0	1	1	0	2	6	3	0	0
GNL2	1	3	0	0	0	0	0	1	0	0	1	3	1	0	0
C1orf109	1	2	0	3	2	1	0	0	0	0	1	4	0	0	0
CDCA8	1	2	0	3	2	1	0	0	0	0	1	4	0	0	0
EPHA10	0	1	0	1	1	0	0	0	4	0	1	3	0	0	0
MANEAL	0	1	0	1	1	0	0	0	4	0	1	4	0	0	0
