tf	him	genes	status
ARNT	k562_80	E4F1;DNAJA3;HAGH;DPEP2;GLIS2	random
ARNT	k562_80	GLYR1;DNASE1;HAGHL;DUS2;GLYR1	random
ARNT	k562_80	GSPT1;FAM173A;HMOX2;DYNC1LI2;HBA1	random
ARNT	k562_80	IL32;FLYWCH1;IL32;E2F4;HBA1	random
ARNT	k562_80	MEFV;GFER;KCTD5;ENKD1;HBQ1	random
ARNT	k562_80	METTL22;GNPTG;MAPK8IP3;EXOC3L1;IL32	random
ARNT	k562_80	MGRN1;HAGH;METRN;FAM65A;KCTD5	random
ARNT	k562_80	MLST8;HBQ1;METTL22;FBXL8;METRN	random
ARNT	k562_80	MMP25;HMOX2;MGRN1;FHOD1;METTL22	random
ARNT	k562_80	NAA60;KREMEN2;NAA60;GFOD2;MLST8	random
ARNT	k562_80	NAGPA;MEFV;NAGPA;GINS3;MMP25	random
ARNT	k562_80	NMRAL1;MLST8;NDUFB10;GOT2;MRPS34	random
ARNT	k562_80	NTN3;MPG;NLRC3;HSF4;NAGPA	random
ARNT	k562_80	NUDT16L1;MSRB1;NMRAL1;KCTD19;NDUFB10	random
ARNT	k562_80	PAM16;NAGPA;NPW;KIAA0895L;NLRC3	random
ARNT	k562_80	PAQR4;NHLRC4;NTHL1;LCAT;NMRAL1	random
ARNT	k562_80	PGP;NME3;NTN3;LRRC29;NPW	random
ARNT	k562_80	PMM2;NME4;NUDT16L1;LRRC36;PAQR4	random
ARNT	k562_80	PPL;NPW;PAQR4;NAE1;PPL	random
ARNT	k562_80	RAB26;PAM16;PDPK1;NDRG4;PRSS22	random
ARNT	k562_80	RMI2;PMM2;PIGQ;NOL3;RAB40C	random
ARNT	k562_80	RNPS1;PPL;PMM2;NRN1L;RGS11	random
ARNT	k562_80	ROGDI;PRSS22;PRSS21;NUTF2;SPSB3	random
ARNT	k562_80	SEC14L5;RAB40C;RAB40C;PARD6A;SRL	random
ARNT	k562_80	SLX4;RGS11;RHOT2;PDP2;SRRM2	random
ARNT	k562_80	SNN;RHOT2;SLC9A3R2;PLA2G15;STUB1	random
ARNT	k562_80	TBC1D24;RPUSD1;SLX4;PLEKHG4;TBL3	random
ARNT	k562_80	TFAP4;SLX4;STUB1;PSKH1;TELO2	random
ARNT	k562_80	THOC6;SPSB3;SYNGR3;PSMB10;TFAP4	random
ARNT	k562_80	TIGD7;SRRM2;TBC1D24;RANBP10;TIGD7	random
ARNT	k562_80	TNFRSF12A;TMEM186;TMEM186;SETD6;TMEM186	random
ARNT	k562_80	TSC2;TMEM204;TMEM204;SLC12A4;TMEM8A	random
ARNT	k562_80	TSC2;TPSAB1;TMEM8A;SLC38A7;TNFRSF12A	random
ARNT	k562_80	UBN1;UBE2I;TNFRSF12A;SLC7A6;TSR3	random
ARNT	k562_80	VASN;VASN;TPSB2;SLC7A6OS;UBN1	random
ARNT	k562_80	ZNF174;WDR24;TRAF7;THAP11;ZG16B	random
ARNT	k562_80	ZNF200;WFIKKN1;UBALD1;TRADD;ZNF200	random
ARNT	k562_80	ZNF205;ZNF213;UBE2I;TSNAXIP1;ZNF205	random
ARNT	k562_80	ZNF263;ZNF500;UBN1;ZDHHC1;ZNF263	random
ARNT	k562_80	ZNF500;ZNF597;ZNF174;ZFP90;ZNF500	random
ARNT	k562_80	ZNF75A;ZNF75A;ZNF263;ZFP90;ZNF598	random
ARNT	k562_87	ACTR3B;C7orf13;RNF32;DNAJB6;INSIG1;LMBR1;MNX1;NOM1;NUB1;PAXIP1;RBM33;REPIN1;RHEB;UBE3C;WDR86;XRCC2;ZNF467;ZNF775;ZNF783	real
ARNT	k562_87	AGBL3;AGBL3;ACHE;ATG9B;ATXN7L1	random
ARNT	k562_87	AHCYL2;BPGM;ASNS;ATP6V0E2;BCAP29	random
ARNT	k562_87	BPGM;C7orf55;CASD1;CHPF2;DNAJB9	random
ARNT	k562_87	CALD1;C7orf55-LUC7L2;CPSF4;CNTNAP2;DUS4L	random
ARNT	k562_87	CCDC136;EXOC4;DYNC1I1;GALNT11;HBP1	random
ARNT	k562_87	CHCHD3;HIPK2;FAM133B;GALNT11;IMMP2L	random
ARNT	k562_87	HILPDA;HIPK2;HEPACAM2;GIMAP8;IMMP2L	random
ARNT	k562_87	LRGUK;KIAA1549;LRCH4;KRBA1;KMT2E	random
ARNT	k562_87	MEST;LRGUK;MOSPD3;LRRC61;LRRN3	random
ARNT	k562_87	MKLN1;LUC7L2;NYAP1;SMARCD3;NRCAM	random
ARNT	k562_87	MTPN;MTPN;PDK4;TMEM176A;PNPLA8	random
ARNT	k562_87	MTPN;PLXNA4;PILRA;TMUB1;PUS7	random
ARNT	k562_87	NUP205;PODXL;PPP1R9A;TPK1;RELN	random
ARNT	k562_87	RBM28;PODXL;SAMD9L;ZNF398;RINT1	random
ARNT	k562_87	SLC13A4;SLC35B4;TAF6;ZNF746;SLC26A5	random
ARNT	k562_87	SMO;TMEM140;TFR2;ZNF786;SLC26A5	random
ARNT	k562_87	SND1;WDR91;TRIP6;ZNF862;SRPK2	random
ARNT	k562_87	SSMEM1;ZC3HAV1;ZKSCAN5;ZYX;SYPL1	random
ARNT	k562_87	ZC3HC1;ZC3HAV1L;ZSCAN21;ZYX;THAP5	random
ARNT	k562_246	ANG;RNASE4;APEX1;OSGEP;TMEM55B;ARHGEF40;NDRG2;CPNE6;DHRS4;DHRS4L2;EMC9;PSME2;RNF31;IRF9;REC8	real
ARNT	k562_246	ACOT2;C14orf166;ENTPD5;C14orf166;ARF6	random
ARNT	k562_246	ALDH6A1;DLGAP5;FCF1;CDKN3;DDHD1	random
ARNT	k562_246	COQ6;DLGAP5;GSTZ1;CNIH1;DNAAF2	random
ARNT	k562_246	DPF3;FRMD6;ISCA2;DLGAP5;FERMT2	random
ARNT	k562_246	ENTPD5;FRMD6;JDP2;DLGAP5;GNPNAT1	random
ARNT	k562_246	FAM161B;GCH1;LIN52;FRMD6;GPR137C	random
ARNT	k562_246	LIN52;GNG2;SAMD15;FRMD6;NEMF	random
ARNT	k562_246	MAP3K9;GPR137C;SPTLC2;GCH1;POLE2	random
ARNT	k562_246	MED6;LGALS3;SPTLC2;GMFB;RPL36AL	random
ARNT	k562_246	MED6;MAPK1IP1L;TMED10;GNG2;RPS29	random
ARNT	k562_246	NUMB;PSMC6;TMED8;GPR137C;RPS29	random
ARNT	k562_246	PNMA1;SAMD4A;VSX2;LGALS3;SAV1	random
ARNT	k562_246	TTC9;SOCS4;YLPM1;MAPK1IP1L;SOS2	random
ARNT	k562_246	VSX2;STYX;ZNF410;STYX;STYX	random
ARNT	k562_246	ZNF410;WDHD1;ZNF410;WDHD1;VCPKMT	random
ARNT	k562_248	ACSF3;APRT;CDH15;CYBA;GALNS;TRAPPC2L;MVD;SNAI3;ZFPM1;ZNF778	real
ARNT	k562_248	ACD;CHTF18;CD2BP2;MAPK3;AMDHD2	random
ARNT	k562_248	ATP6V0D1;FAM173A;HIRIP3;PPP4C;CASKIN1	random
ARNT	k562_248	E2F4;NHLRC4;INO80E;PRR14;E4F1	random
ARNT	k562_248	EXOC3L1;PDIA2;MAPK3;PRR14;ECI1	random
ARNT	k562_248	HSF4;PIGQ;PRR14;SEZ6L2;NPW	random
ARNT	k562_248	KCTD19;RAB40C;SEPT1;TBC1D10B;NTN3	random
ARNT	k562_248	LRRC29;SOX8;SEZ6L2;YPEL3;PDPK1	random
ARNT	k562_248	LRRC36;SOX8;TBC1D10B;ZNF747;RPS2	random
ARNT	k562_248	PSMB10;STUB1;YPEL3;ZNF768;SRRM2	random
ARNT	k562_248	TSNAXIP1;WFIKKN1;ZNF764;ZNF785;SYNGR3	random
ARNT	k562_274	CST7;DTD1;DZANK1;POLR3F;FOXA2;GZF1;KIF16B;NANP;NINL;PET117;RALGAPA2;REM1;SEC23B;XRN2;ZNF133	real
ARNT	k562_274	ARFGEF2;ATRN;AP5S1;ACSS1;BCAS4	random
ARNT	k562_274	AURKA;CPXM1;FLRT3;ASXL1;CSTF1	random
ARNT	k562_274	CSTF1;ITPA;GPCPD1;CBFA2T2;DBNDD2	random
ARNT	k562_274	GNAS;LRRN4;ITPA;CD93;L3MBTL1	random
ARNT	k562_274	LSM14B;MACROD2;JAG1;CDK5RAP1;MYBL2	random
ARNT	k562_274	NFATC2;MKKS;MAVS;CHMP4B;PIGT	random
ARNT	k562_274	PARD6B;NOP56;NDUFAF5;EIF2S2;SLC9A8	random
ARNT	k562_274	PFDN4;PCED1A;NOP56;HM13;SLPI	random
ARNT	k562_274	PREX1;RBCK1;PANK2;INSM1;SRSF6	random
ARNT	k562_274	PREX1;SIRPB1;PCNA;KIF3B;SYS1	random
ARNT	k562_274	RAB22A;SIRPB2;PLCB4;NAPB;TMEM189-UBE2V1	random
ARNT	k562_274	RNF114;SLC4A11;PSMF1;PLAGL2;UBE2V1	random
ARNT	k562_274	SLC9A8;SMOX;RAD21L1;PROCR;ZFP64	random
ARNT	k562_274	STX16;STK35;SLX4IP;PXMP4;ZNFX1	random
ARNT	k562_274	TFAP2C;TRMT6;TMEM230;TPX2;ZSWIM3	random
ARNT	k562_280	ADAT1;CENPN;CMC2;MPHOSPH6;PLCG2;SDR42E1;WFDC1	real
ARNT	k562_280	MMP25;ATMIN;AP1G1;EMC8;CRISPLD2	random
ARNT	k562_280	NUDT16L1;CNTNAP4;CFDP1;FANCA;GSE1	random
ARNT	k562_280	RMI2;GAN;DHX38;FBXO31;HSBP1	random
ARNT	k562_280	ROGDI;HSBP1;DYNLRB2;FOXF1;MBTPS1	random
ARNT	k562_280	SRL;KLHL36;GABARAPL2;GCSH;MON1B	random
ARNT	k562_280	SRRM2;MBTPS1;TERF2IP;RNF166;TAF1C	random
ARNT	k562_280	TIGD7;TLDC1;ZNRF1;ZFPM1;TLDC1	random
ARNT	k562_338	C2CD2L;DPAGT1;DDX6;H2AFX;HINFP;HYOU1;MCAM;PHLDB1;RPS25;TRAPPC4;SLC37A4;VPS11	real
ARNT	k562_338	CCDC85B;FERMT3;AIP;BRMS1;AIP	random
ARNT	k562_338	CNIH2;FKBP2;CABP4;C11orf68;ALDH3B1	random
ARNT	k562_338	CST6;GPR137;CARNS1;CCDC85B;CABP4	random
ARNT	k562_338	CTSW;NRXN2;CLCF1;CST6;CDK2AP2	random
ARNT	k562_338	DRAP1;NUDT22;PITPNM1;CTSW;CLCF1	random
ARNT	k562_338	EIF1AD;OTUB1;PITPNM1;EFEMP2;CORO1B	random
ARNT	k562_338	FAM89B;PPP1R14B;POLD4;MUS81;NUDT8	random
ARNT	k562_338	FIBP;PRDX5;PTPRCAP;RAB1B;PTPRCAP	random
ARNT	k562_338	FOSL1;RPS6KA4;RCE1;SART1;RAD9A	random
ARNT	k562_338	KCNK7;TEX40;SSH3;SF3B2;SSH3	random
ARNT	k562_338	MUS81;TRPT1;TBC1D10C;SIPA1;SSH3	random
ARNT	k562_338	SART1;VEGFB;TMEM134;SNX32;TMEM134	random
ARNT	k562_355	ADAM8;CALY;DOCK1;ECHS1;FUOM;KNDC1;MTG1;PAOX;TUBGCP2;ZNF511;UTF1;VENTX	real
ARNT	k562_355	CCAR1;ANXA7;AIFM2	random
ARNT	k562_355	H2AFY2;CAMK2G;CCAR1	random
ARNT	k562_355	HK1;ECD;DDX21	random
ARNT	k562_355	KIAA1279;FUT11;HK1	random
ARNT	k562_355	REEP3;MCU;HNRNPH3	random
ARNT	k562_355	RUFY2;MYOZ1;KIAA1279	random
ARNT	k562_355	SLC25A16;NUDT13;REEP3	random
ARNT	k562_355	SRGN;PPIF;STOX1	random
ARNT	k562_355	STOX1;SEC24C;SUPV3L1	random
ARNT	k562_355	SUPV3L1;USP54;TACR2	random
ARNT	k562_355	TACR2;VCL;TSPAN15	random
ARNT	k562_355	TSPAN15;ZSWIM8;VPS26A	random
ARNT	k562_357	CHAC1;CHP1;EXD1;DLL4;INO80;MGA;NDUFAF1;NOP10;SLC12A6;NUSAP1;OIP5;OTUD7A;RHOV;RTF1;VPS18	real
ARNT	k562_357	ANPEP;ADPGK;AQR;ANXA2;CCNDBP1	random
ARNT	k562_357	C15orf38-AP3S2;CIB2;AVEN;DAPK2;CDAN1	random
ARNT	k562_357	FES;CPEB1;CHRNA7;DPP8;DISP2	random
ARNT	k562_357	IDH2;CPEB1;DPH6;DYX1C1;DISP2	random
ARNT	k562_357	IL16;CYP11A1;DPH6;FAM96A;GABPB1	random
ARNT	k562_357	IL16;EDC3;EMC4;FOXB1;HAUS2	random
ARNT	k562_357	KIF7;FAM219B;EMC7;GCOM1;HDC	random
ARNT	k562_357	MFGE8;MPI;FAN1;OAZ2;JMJD7	random
ARNT	k562_357	MRPL46;MTHFS;GABRB3;PDCD7;MAPKBP1	random
ARNT	k562_357	RCCD1;PPCDC;GOLGA8B;RAB8B;MFAP1	random
ARNT	k562_357	TICRR;RCN2;KATNBL1;RBPMS2;PLA2G4B	random
ARNT	k562_357	UNC45A;SNX33;OCA2;SNX1;SHF	random
ARNT	k562_357	WDR73;STOML1;PGBD4;SNX22;SPG11	random
ARNT	k562_357	ZNF710;TSPAN3;RYR3;SPG21;SPINT1	random
ARNT	k562_357	ZNF774;UBL7;UBE3A;TPM1;TYRO3	random
ARNT	k562_361	B3GNT7;DIS3L2;ECEL1;HDAC4;NDUFA10;NPPC	real
ARNT	k562_361	HOXD1;AFF3;ANKZF1;IL18RAP;EIF2AK2	random
ARNT	k562_361	MTX2;CCDC138;CPS1;IL1R1;FEZ2	random
ARNT	k562_361	NFE2L2;CCDC138;CXCR1;RGPD5;HEATR5B	random
ARNT	k562_361	OSBPL6;LONRF2;IKZF2;SEPT10;LBH	random
ARNT	k562_361	ZNF804A;MFSD9;TMBIM1;SULT1C2;PLB1	random
ARNT	k562_361	ZNF804A;SLC9A2;TTLL4;TBC1D8;SPAST	random
ARNT	k562_362	AAMP;PNKD;AGAP1;AP1S3;ARMC9;COPS7B;PDE6D;FAM124B;IRS1;KCNE4;NCL;PTMA	real
ARNT	k562_362	APLF;ACYP2;ALK;CTDSP1;ATL2	random
ARNT	k562_362	C2orf42;ATP6V1E2;BIRC6;CUL3;CEBPZ	random
ARNT	k562_362	CNRIP1;CALM2;COX7A2L;CXCR1;DHX57	random
ARNT	k562_362	DOK1;EFEMP1;EMILIN1;FAM134A;EHD3	random
ARNT	k562_362	GCFC2;GPR75;GALM;GLB1L;HNRNPLL	random
ARNT	k562_362	KCMF1;GPR75-ASB3;GEMIN6;PAX3;KCNG3	random
ARNT	k562_362	M1AP;OTX1;LCLAT1;PSMD1;MORN2	random
ARNT	k562_362	PRADC1;PUS10;PPP1CB;SERPINE2;PREPL	random
ARNT	k562_362	REG3G;REL;PREPL;SMARCAL1;STON1-GTF2A1L	random
ARNT	k562_362	SEMA4F;UGP2;RMDN2;TMBIM1;THUMPD2	random
ARNT	k562_362	SUCLG1;USP34;SPDYA;UGT1A6;TTC27	random
ARNT	k562_362	VAMP5;WDPCP;TTC27;UGT1A6;YIPF4	random
ARNT	k562_379	ACTR3C;LRRC61;CASP2;TMEM139;CNTNAP2;EPHB6;GIMAP1;GIMAP2;GIMAP5;GIMAP6;GIMAP7;GIMAP8;TMEM176A;TMEM176B;TRPV5	real
ARNT	k562_379	CACNA2D1;ANLN;ABCB8;AP4M1;ADAP1	random
ARNT	k562_379	CCL24;CDK13;AGAP3;ATP5J2;COX19	random
ARNT	k562_379	GATSL2;COA1;ATP6V0E2;ATP5J2-PTCD1;CYTH3	random
ARNT	k562_379	HGF;DBNL;GBX1;DLX6;DAGLB	random
ARNT	k562_379	HIP1;EEPD1;NOBOX;FAM133B;GNA12	random
ARNT	k562_379	HSPB1;EPDR1;REPIN1;GATAD1;GPER1	random
ARNT	k562_379	MDH2;PGAM2;SLC4A2;KRIT1;ICA1	random
ARNT	k562_379	PCLO;STARD3NL;SMARCD3;PDAP1;ICA1	random
ARNT	k562_379	PHTF2;STK17A;ZNF212;PEG10;INTS1	random
ARNT	k562_379	POM121C;SUGCT;ZNF746;PEX1;MAFK	random
ARNT	k562_379	POR;UBE2D4;ZNF775;PPP1R9A;PDGFA	random
ARNT	k562_379	SEMA3C;URGCP;ZNF777;SAMD9;PDGFA	random
ARNT	k562_379	SRRM3;VPS41;ZNF786;STAG3;PRKAR1B	random
ARNT	k562_379	STYXL1;YKT6;ZYX;ZKSCAN5;SLC29A4	random
ARNT	k562_379	YWHAG;YKT6;ZYX;ZSCAN25;ZFAND2A	random
ARNT	k562_380	ABCB8;ATG9B;ABCF2;CHPF2;AGAP3;TMUB1;FASTK;KCNH2;SLC4A2;SMARCD3	real
ARNT	k562_380	C7orf43;AGFG2;C7orf43;AGFG2;C7orf43	random
ARNT	k562_380	CNPY4;GNB2;COPS6;FBXO24;CNPY4	random
ARNT	k562_380	GAL3ST4;GNB2;GAL3ST4;GNB2;GATS	random
ARNT	k562_380	GATS;LRCH4;GATS;GNB2;GPC2	random
ARNT	k562_380	GPC2;MEPCE;GPC2;MOSPD3;MBLAC1	random
ARNT	k562_380	MCM7;MOSPD3;PILRB;PCOLCE;MCM7	random
ARNT	k562_380	MCM7;PCOLCE;PILRB;PILRA;PILRB	random
ARNT	k562_380	PILRA;PILRA;STAG3;PILRA;ZNF3	random
ARNT	k562_380	PILRA;PILRA;ZNF3;PPP1R35;ZSCAN21	random
ARNT	k562_380	TAF6;TSC22D4;ZSCAN21;TSC22D4;ZSCAN21	random
ARNT	k562_398	AP3D1;BTBD2;C19orf35;DOT1L;GADD45B;HCN2;IZUMO4;MOB3A;JSRP1;LMNB2;LSM7;MYO1F;PLEKHJ1;SF3A2;ZNF558	real
ARNT	k562_398	AKAP8;CALR;CEBPG;FXYD3;C19orf38	random
ARNT	k562_398	ANO8;CC2D1A;DMKN;POP4;DPP9	random
ARNT	k562_398	COPE;CCDC130;GRAMD1A;PSENEN;ELOF1	random
ARNT	k562_398	CYP4F2;DUS3L;HCST;RGS9BP;FARSA	random
ARNT	k562_398	GTPBP3;EPOR;LIN37;SIPA1L3;MAN2B1	random
ARNT	k562_398	IFI30;HOOK2;TBCB;U2AF1L4;MRPL4	random
ARNT	k562_398	KLHL26;IL27RA;UQCRFS1;WDR62;QTRT1	random
ARNT	k562_398	MPV17L2;MAST1;ZNF382;ZNF30;RAB11B	random
ARNT	k562_398	MRPL34;MRI1;ZNF527;ZNF383;RNASEH2A	random
ARNT	k562_398	RAB8A;NACC1;ZNF529;ZNF420;SLC44A2	random
ARNT	k562_398	SLC27A1;PODNL1;ZNF566;ZNF461;TNPO2	random
ARNT	k562_398	TMEM221;SMARCA4;ZNF571;ZNF527;YIPF2	random
ARNT	k562_398	USE1;ZNF317;ZNF571;ZNF569;ZNF20	random
ARNT	k562_398	ZNF675;ZNF788;ZNF790;ZNF585B;ZNF490	random
ARNT	k562_398	ZNF98;ZNF791;ZNF829;ZNF607;ZNF564	random
ARNT	k562_400	ATPAF1;FAAH;LRRC41;UQCRH;MKNK1;MOB3C;NSUN4;PPCS;ZMYND12;RAD54L	real
ARNT	k562_400	ANXA9;BEND5;FAM159A;ALG6;CCNL2	random
ARNT	k562_400	ANXA9;BEND5;GPX7;ATG4C;CCNL2	random
ARNT	k562_400	C1orf56;CC2D1B;PRKAA2;EFCAB7;KCNAB2	random
ARNT	k562_400	DENND4B;FAM159A;PRKAA2;EFCAB7;MMP23B	random
ARNT	k562_400	GABPB2;GPX7;PRPF38A;FGGY;MORN1	random
ARNT	k562_400	MLLT11;ORC1;SCP2;FOXD3;MRPL20	random
ARNT	k562_400	MRPL9;OSBPL9;TCEANC2;HOOK1;SKI	random
ARNT	k562_400	TDRKH;TXNDC12;TTC4;ITGB3BP;SLC35E2	random
ARNT	k562_400	THBS3;ZYG11A;ZCCHC11;TM2D1;TNFRSF14	random
ARNT	k562_400	UBAP2L;ZYG11B;ZYG11B;USP1;TPRG1L	random
ARNT	k562_422	ABCG1;ADARB1;CBR3;COL18A1;LSS;PCBP3;POFUT2;SIK1;SLC19A1;SUMO3;ZBTB21	real
ARNT	k562_422	CBS;APP;CHAF1B;BACH1;AIRE	random
ARNT	k562_422	ETS2;CBR1;ERG;CBR1;BACE2	random
ARNT	k562_422	IFNAR1;DONSON;HLCS;DNAJC28;C21orf2	random
ARNT	k562_422	KCNJ6;ITSN1;HSF2BP;ERG;CBS	random
ARNT	k562_422	OLIG2;MORC3;KCNE1;HMGN1;CSTB	random
ARNT	k562_422	RIPPLY3;OLIG1;LCA5L;KCNE1;DSCR8	random
ARNT	k562_422	SETD4;RCAN1;MORC3;MORC3;FAM207A	random
ARNT	k562_422	SLC5A3;SOD1;RCAN1;MRPS6;LRRC3	random
ARNT	k562_422	SON;SYNJ1;SETD4;SOD1;RUNX1	random
ARNT	k562_422	TMEM50B;URB1;SLC5A3;TMEM50B;SLC37A1	random
ARNT	k562_422	TTC3;USP16;TMEM50B;URB1;TRPM2	random
ARNT	k562_423	CBS;NDUFV3;PDE9A;PKNOX1;RSPH1;SLC37A1;TFF1;U2AF1;WDR4	real
ARNT	k562_423	AGPAT3;ATP5O;C21orf58;AIRE;CRYZL1	random
